"",BBFB1.Q.N.DE.SG.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.SG.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Singapore,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:11,
1991-01,-13.084,
1991-04,12.830,
1991-07,34.838,
1991-10,20.551,
1992-01,12.123,
1992-04,9.452,
1992-07,11.119,
1992-10,40.584,
1993-01,2.293,
1993-04,-0.354,
1993-07,5.820,
1993-10,2.232,
1994-01,40.314,
1994-04,45.250,
1994-07,65.567,
1994-10,103.897,
1995-01,22.703,
1995-04,66.516,
1995-07,35.758,
1995-10,109.849,
1996-01,148.429,
1996-04,71.009,
1996-07,137.035,
1996-10,129.138,
1997-01,-210.994,
1997-04,-8.128,
1997-07,-35.211,
1997-10,-14.845,
1998-01,-5.844,
1998-04,13.559,
1998-07,80.344,
1998-10,152.405,
1999-01,-526.806,
1999-04,284.244,
1999-07,260.528,
1999-10,482.910,
2000-01,183.294,
2000-04,443.513,
2000-07,463.361,
2000-10,130.643,
2001-01,-88.548,
2001-04,732.691,
2001-07,482.195,
2001-10,-5.702,
2002-01,-42.661,
2002-04,310.004,
2002-07,465.007,
2002-10,-34.710,
2003-01,-139.851,
2003-04,-292.426,
2003-07,-96.176,
2003-10,-747.669,
2004-01,265.636,
2004-04,214.468,
2004-07,441.337,
2004-10,-427.802,
2005-01,-6.710,
2005-04,196.334,
2005-07,-467.519,
2005-10,-563.890,
2006-01,216.621,
2006-04,402.111,
2006-07,-192.461,
2006-10,193.201,
2007-01,175.311,
2007-04,589.489,
2007-07,71.539,
2007-10,-76.122,
2008-01,650.573,
2008-04,571.450,
2008-07,185.832,
2008-10,459.645,
2009-01,-329.051,
2009-04,-230.516,
2009-07,112.017,
2009-10,-30.936,
2010-01,425.848,
2010-04,265.538,
2010-07,115.739,
2010-10,818.337,
2011-01,202.378,
2011-04,-95.870,
2011-07,167.676,
2011-10,728.084,
2012-01,192.413,
2012-04,432.917,
2012-07,-537.322,
2012-10,340.975,
2013-01,478.141,
2013-04,317.141,
2013-07,10.259,
2013-10,242.652,
2014-01,317.062,Provisional value
2014-04,140.238,Provisional value
2014-07,48.818,Provisional value
2014-10,216.268,Provisional value
