"",BBSF2.M.1.P.00000.GEF01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEF01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:54,
2009-09,15718,
2009-10,15541,
2009-11,15759,
2009-12,16185,
2010-01,17021,
2010-02,17549,
2010-03,18795,
2010-04,19699,
2010-05,19235,
2010-06,18944,
2010-07,19154,
2010-08,19486,
2010-09,19779,
2010-10,20055,
2010-11,20071,
2010-12,20697,
2011-01,20607,
2011-02,20884,
2011-03,20341,
2011-04,20784,
2011-05,20787,
2011-06,20079,
2011-07,19494,
2011-08,18194,
2011-09,17632,
2011-10,18075,
2011-11,17753,
2011-12,17992,
2012-01,18443,
2012-02,18806,
2012-03,18894,
2012-04,19121,
2012-05,18884,
2012-06,18787,
2012-07,19406,
2012-08,19526,
2012-09,19812,
2012-10,20063,
2012-11,20163,
2012-12,20517,
2013-01,20485,
2013-02,20706,
2013-03,21376,
2013-04,21611,
2013-05,21755,
2013-06,20302,
2013-07,20709,
2013-08,20768,
2013-09,21263,
2013-10,21265,
2013-11,21299,
2013-12,20537,
2014-01,20461,
2014-02,20733,
2014-03,20826,
2014-04,21084,
2014-05,21369,
2014-06,21845,
2014-07,21977,
2014-08,18371,
2014-09,18418,
2014-10,18185,
2014-11,18560,
