"",BBK01.OEHK02L,BBK01.OEHK02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:31,
2002-01,1.746,
2002-04,1.780,
2002-07,1.839,
2002-10,1.812,
2003-01,1.909,
2003-04,1.939,
2003-07,1.971,
2003-10,2.021,
2004-01,1.967,
2004-04,1.740,
2004-07,1.968,
2004-10,1.917,
2005-01,1.958,
2005-04,1.930,
2005-07,2.027,
2005-10,2.082,
2006-01,2.121,
2006-04,2.176,
2006-07,2.240,
2006-10,2.267,
2007-01,2.177,
2007-04,2.271,
2007-07,2.357,
2007-10,2.351,
2008-01,2.316,
2008-04,2.282,
2008-07,2.316,
2008-10,2.405,
2009-01,2.563,
2009-04,2.867,
2009-07,2.993,
2009-10,3.130,
2010-01,3.144,
2010-04,3.198,
2010-07,3.244,
2010-10,3.267,
2011-01,3.236,
2011-04,3.221,
2011-07,3.286,
2011-10,3.421,
2012-01,3.368,
2012-04,3.428,
2012-07,3.548,
2012-10,3.654,
2013-01,3.648,
2013-04,3.724,
2013-07,3.802,
2013-10,3.965,
2014-01,3.960,
2014-04,4.123,
2014-07,4.232,
