"",BBK01.TQ7005D,BBK01.TQ7005D_FLAGS
"",Deposit takers - Sectoral distribution of loans to total loans - Deposit takers           FSI-I005,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:22,
2005-10,21.81,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,20.92,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,21.29,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,21.43,
2009-01,21.58,
2009-04,20.61,
2009-07,20.98,
2009-10,20.55,
2010-01,20.57,
2010-04,20.18,
2010-07,20.68,
2010-10,20.88,
2011-01,20.98,
2011-04,20.74,
2011-07,20.63,
2011-10,20.71,
2012-01,19.95,
2012-04,19.51,
2012-07,19.44,
2012-10,19.63,
2013-01,19.91,
2013-04,19.74,
2013-07,21.94,
2013-10,21.42,
2014-01,21.74,
2014-04,21.90,
2014-07,21.37,
