"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.GR.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.GR.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Greece,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:03,
2009-09,7179,
2009-10,7507,
2009-11,7578,
2009-12,7437,
2010-01,6842,
2010-02,7069,
2010-03,7546,
2010-04,5603,
2010-05,4996,
2010-06,3934,
2010-07,3790,
2010-08,3593,
2010-09,3819,
2010-10,3804,
2010-11,3448,
2010-12,3341,
2011-01,3396,
2011-02,3305,
2011-03,3036,
2011-04,2366,
2011-05,2099,
2011-06,1943,
2011-07,1988,
2011-08,1703,
2011-09,1341,
2011-10,1325,
2011-11,912,
2011-12,905,
2012-01,844,
2012-02,757,
2012-03,214,
2012-04,173,
2012-05,69,
2012-06,66,
2012-07,66,
2012-08,71,
2012-09,76,
2012-10,88,
2012-11,89,
2012-12,26,
2013-01,21,
2013-02,20,
2013-03,19,
2013-04,19,
2013-05,21,
2013-06,19,
2013-07,18,
2013-08,14,
2013-09,15,
2013-10,16,
2013-11,10,
2013-12,12,
2014-01,9,
2014-02,11,
2014-03,12,
2014-04,20,
2014-05,26,
2014-06,30,
2014-07,28,
2014-08,29,
2014-09,28,
2014-10,32,
2014-11,35,
