"",BBK01.OEAH27T,BBK01.OEAH27T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:48,
2002-01,2.519,
2002-04,2.474,
2002-07,2.464,
2002-10,2.468,
2003-01,2.327,
2003-04,2.169,
2003-07,2.049,
2003-10,2.176,
2004-01,2.108,
2004-04,2.068,
2004-07,2.072,
2004-10,2.122,
2005-01,2.128,
2005-04,2.069,
2005-07,1.963,
2005-10,1.996,
2006-01,1.999,
2006-04,1.995,
2006-07,2.002,
2006-10,2.144,
2007-01,2.252,
2007-04,2.267,
2007-07,2.327,
2007-10,2.482,
2008-01,2.518,
2008-04,2.447,
2008-07,2.449,
2008-10,2.819,
2009-01,2.623,
2009-04,2.519,
2009-07,2.337,
2009-10,2.318,
2010-01,2.113,
2010-04,1.963,
2010-07,1.880,
2010-10,1.888,
2011-01,1.877,
2011-04,1.853,
2011-07,1.899,
2011-10,1.923,
2012-01,1.886,
2012-04,1.819,
2012-07,1.749,
2012-10,1.701,
2013-01,1.605,
2013-04,1.516,
2013-07,1.469,
2013-10,1.418,
2014-01,1.403,
2014-04,1.372,
2014-07,1.382,
