"",BBK01.WX4223,BBK01.WX4223_FLAGS
"",Purchases of foreign mutual fund shares by domestic non-banks,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 09:16:18,
1970-01,40,
1970-02,39,
1970-03,33,
1970-04,25,
1970-05,-53,
1970-06,-30,
1970-07,-19,
1970-08,-3,
1970-09,-6,
1970-10,-4,
1970-11,-3,
1970-12,-8,
1971-01,1,
1971-02,-5,
1971-03,-1,
1971-04,-11,
1971-05,-11,
1971-06,-13,
1971-07,-19,
1971-08,-31,
1971-09,-16,
1971-10,-13,
1971-11,-9,
1971-12,-11,
1972-01,-10,
1972-02,-7,
1972-03,-17,
1972-04,-69,
1972-05,-14,
1972-06,-12,
1972-07,-6,
1972-08,-13,
1972-09,-7,
1972-10,-8,
1972-11,-7,
1972-12,-2,
1973-01,1,
1973-02,2,
1973-03,5,
1973-04,3,
1973-05,-3,
1973-06,0,
1973-07,-5,
1973-08,4,
1973-09,-3,
1973-10,0,
1973-11,1,
1973-12,-3,
1974-01,4,
1974-02,2,
1974-03,8,
1974-04,-1,
1974-05,-1,
1974-06,2,
1974-07,-1,
1974-08,2,
1974-09,-4,
1974-10,0,
1974-11,-1,
1974-12,9,
1975-01,2,
1975-02,4,
1975-03,1,
1975-04,1,
1975-05,0,
1975-06,4,
1975-07,6,
1975-08,1,
1975-09,1,
1975-10,5,
1975-11,-1,
1975-12,-8,
1976-01,0,
1976-02,-11,
1976-03,-2,
1976-04,-1,
1976-05,-6,
1976-06,6,
1976-07,-5,
1976-08,1,
1976-09,0,
1976-10,1,
1976-11,-2,
1976-12,-4,
1977-01,-2,
1977-02,3,
1977-03,-3,
1977-04,-3,
1977-05,4,
1977-06,-1,
1977-07,0,
1977-08,-1,
1977-09,0,
1977-10,-1,
1977-11,1,
1977-12,-1,
1978-01,3,
1978-02,-4,
1978-03,2,
1978-04,0,
1978-05,0,
1978-06,-1,
1978-07,1,
1978-08,-2,
1978-09,-2,
1978-10,-2,
1978-11,0,
1978-12,-2,
1979-01,1,
1979-02,-5,
1979-03,1,
1979-04,0,
1979-05,-2,
1979-06,-2,
1979-07,-4,
1979-08,-2,
1979-09,-1,
1979-10,-3,
1979-11,-1,
1979-12,-1,
1980-01,-2,
1980-02,-4,
1980-03,-3,
1980-04,-2,
1980-05,-1,
1980-06,-1,
1980-07,-1,
1980-08,-1,
1980-09,-3,
1980-10,-2,
1980-11,0,
1980-12,-11,
1981-01,-2,
1981-02,-2,
1981-03,-3,
1981-04,-3,
1981-05,-5,
1981-06,0,
1981-07,2,
1981-08,-1,
