"",BBK01.OEAC16Q,BBK01.OEAC16Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:20,
2002-01,8.089,
2002-04,8.103,
2002-07,8.323,
2002-10,9.092,
2003-01,9.016,
2003-04,9.684,
2003-07,9.976,
2003-10,9.753,
2004-01,8.910,
2004-04,7.451,
2004-07,7.269,
2004-10,7.284,
2005-01,7.367,
2005-04,7.761,
2005-07,7.356,
2005-10,6.996,
2006-01,7.000,
2006-04,7.066,
2006-07,7.156,
2006-10,6.759,
2007-01,7.062,
2007-04,7.238,
2007-07,7.331,
2007-10,7.444,
2008-01,7.320,
2008-04,10.276,
2008-07,8.913,
2008-10,6.265,
2009-01,6.365,
2009-04,7.570,
2009-07,6.591,
2009-10,7.105,
2010-01,5.636,
2010-04,7.326,
2010-07,6.173,
2010-10,6.567,
2011-01,7.234,
2011-04,4.798,
2011-07,4.681,
2011-10,4.363,
2012-01,7.288,
2012-04,7.637,
2012-07,10.529,
2012-10,6.196,
2013-01,5.032,
2013-04,4.769,
2013-07,4.813,
2013-10,5.217,
2014-01,5.136,
2014-04,5.336,
2014-07,5.557,
