"",BBDR1.Q.DE.N.DES.DHPIB.H.I10.A,BBDR1.Q.DE.N.DES.DHPIB.H.I10.A_FLAGS
"",Statistisches Bundesamt (Destatis) / Price index for purchases of existing dwellings / Germany / Unadjusted figure,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 14:35:37,
2000-01,101.9,
2000-04,101.5,
2000-07,102.6,
2000-10,102.8,
2001-01,103.3,
2001-04,103.6,
2001-07,103.0,
2001-10,100.8,
2002-01,101.0,
2002-04,102.2,
2002-07,101.6,
2002-10,99.6,
2003-01,101.1,
2003-04,103.2,
2003-07,102.0,
2003-10,100.2,
2004-01,101.9,
2004-04,100.5,
2004-07,99.2,
2004-10,97.1,
2005-01,102.1,
2005-04,100.4,
2005-07,102.6,
2005-10,99.4,
2006-01,100.9,
2006-04,101.8,
2006-07,99.9,
2006-10,100.7,
2007-01,97.0,
2007-04,98.5,
2007-07,98.2,
2007-10,98.3,
2008-01,99.9,
2008-04,100.1,
2008-07,98.0,
2008-10,98.4,
2009-01,97.9,
2009-04,99.7,
2009-07,98.9,
2009-10,100.4,
2010-01,99.0,
2010-04,100.8,
2010-07,100.5,
2010-10,99.7,
2011-01,102.7,
2011-04,103.7,
2011-07,102.9,
2011-10,103.9,
2012-01,104.7,
2012-04,106.1,
2012-07,107.7,
2012-10,109.2,
2013-01,108.9,
2013-04,111.1,
2013-07,111.0,
2013-10,111.2,
2014-01,112.0,
