"",BBK01.OECI07V,BBK01.OECI07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:05,
2002-01,1.131,
2002-04,0.787,
2002-07,0.790,
2002-10,0.859,
2003-01,0.868,
2003-04,0.838,
2003-07,0.891,
2003-10,0.890,
2004-01,0.871,
2004-04,1.303,
2004-07,1.392,
2004-10,1.433,
2005-01,2.878,
2005-04,2.840,
2005-07,2.797,
2005-10,2.732,
2006-01,2.665,
2006-04,2.606,
2006-07,2.538,
2006-10,2.501,
2007-01,2.511,
2007-04,2.461,
2007-07,2.377,
2007-10,2.396,
2008-01,2.353,
2008-04,2.374,
2008-07,2.307,
2008-10,2.324,
2009-01,2.378,
2009-04,2.429,
2009-07,2.494,
2009-10,2.548,
2010-01,2.625,
2010-04,2.554,
2010-07,2.572,
2010-10,2.586,
2011-01,2.533,
2011-04,2.483,
2011-07,2.478,
2011-10,2.478,
2012-01,2.700,
2012-04,2.663,
2012-07,2.688,
2012-10,2.770,
2013-01,2.730,
2013-04,2.701,
2013-07,2.662,
2013-10,2.688,
2014-01,2.669,
2014-04,2.645,
2014-07,2.673,
