"",BBFB1.Q.N.DE.AU.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:41,
1991-01,76.759,
1991-04,93.555,
1991-07,109.102,
1991-10,88.074,
1992-01,76.664,
1992-04,90.479,
1992-07,91.750,
1992-10,81.304,
1993-01,73.713,
1993-04,76.040,
1993-07,85.459,
1993-10,88.832,
1994-01,56.699,
1994-04,73.230,
1994-07,72.176,
1994-10,78.055,
1995-01,65.484,
1995-04,65.709,
1995-07,61.274,
1995-10,65.003,
1996-01,66.325,
1996-04,99.234,
1996-07,99.515,
1996-10,109.458,
1997-01,96.450,
1997-04,113.299,
1997-07,112.664,
1997-10,113.172,
1998-01,96.165,
1998-04,152.659,
1998-07,126.724,
1998-10,137.098,
1999-01,95.801,
1999-04,124.937,
1999-07,140.728,
1999-10,138.240,
2000-01,115.431,
2000-04,148.563,
2000-07,147.534,
2000-10,154.512,
2001-01,127.592,
2001-04,156.913,
2001-07,143.248,
2001-10,149.303,
2002-01,121.154,
2002-04,123.853,
2002-07,144.036,
2002-10,167.803,
2003-01,114.228,
2003-04,139.028,
2003-07,148.722,
2003-10,155.045,
2004-01,174.649,
2004-04,148.656,
2004-07,142.272,
2004-10,137.712,
2005-01,160.077,
2005-04,179.592,
2005-07,175.811,
2005-10,178.749,
2006-01,156.314,
2006-04,195.629,
2006-07,211.569,
2006-10,237.825,
2007-01,212.781,
2007-04,252.096,
2007-07,270.106,
2007-10,289.720,
2008-01,299.459,
2008-04,350.448,
2008-07,309.080,
2008-10,296.526,
2009-01,278.281,
2009-04,306.621,
2009-07,369.345,
2009-10,388.868,
2010-01,320.280,
2010-04,403.322,
2010-07,422.048,
2010-10,443.288,
2011-01,384.636,
2011-04,425.505,
2011-07,449.926,
2011-10,482.490,
2012-01,399.625,
2012-04,436.175,
2012-07,483.611,
2012-10,422.487,
2013-01,423.581,
2013-04,427.322,
2013-07,499.111,
2013-10,435.960,
2014-01,382.833,Provisional value
2014-04,435.834,Provisional value
2014-07,472.201,Provisional value
