"",BBFB1.Q.N.DE.A1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:16,
1991-01,3188.676,
1991-04,2918.585,
1991-07,2806.654,
1991-10,3077.528,
1992-01,2862.138,
1992-04,2858.496,
1992-07,3032.436,
1992-10,2986.085,
1993-01,3100.952,
1993-04,3301.556,
1993-07,2998.611,
1993-10,3010.202,
1994-01,2568.661,
1994-04,2660.667,
1994-07,2374.519,
1994-10,2544.822,
1995-01,2854.775,
1995-04,2809.222,
1995-07,2765.579,
1995-10,2964.666,
1996-01,3371.017,
1996-04,3433.872,
1996-07,3466.743,
1996-10,3926.426,
1997-01,3913.478,
1997-04,3949.053,
1997-07,3976.409,
1997-10,4305.155,
1998-01,4259.586,
1998-04,4669.389,
1998-07,4671.548,
1998-10,4986.454,
1999-01,3365.208,
1999-04,4735.800,
1999-07,3343.574,
1999-10,4204.737,
2000-01,5657.026,
2000-04,5569.274,
2000-07,5739.602,
2000-10,6462.220,
2001-01,3602.026,
2001-04,3518.919,
2001-07,3140.738,
2001-10,3295.917,
2002-01,4050.287,
2002-04,3821.024,
2002-07,3458.032,
2002-10,3185.639,
2003-01,3654.739,
2003-04,3603.524,
2003-07,3520.816,
2003-10,3444.677,
2004-01,5366.495,
2004-04,5243.680,
2004-07,5601.330,
2004-10,6116.548,
2005-01,6350.061,
2005-04,6414.682,
2005-07,6741.990,
2005-10,7007.724,
2006-01,7644.238,
2006-04,7546.406,
2006-07,7720.538,
2006-10,8163.353,
2007-01,7512.752,
2007-04,7124.240,
2007-07,6723.485,
2007-10,6817.058,
2008-01,5843.924,
2008-04,5891.811,
2008-07,5675.748,
2008-10,5532.717,
2009-01,5515.032,
2009-04,5271.495,
2009-07,5042.046,
2009-10,4990.776,
2010-01,5859.851,
2010-04,5899.916,
2010-07,5803.615,
2010-10,5967.572,
2011-01,5804.392,
2011-04,5826.842,
2011-07,5896.385,
2011-10,5980.693,
2012-01,6088.745,
2012-04,6031.306,
2012-07,5963.252,
2012-10,6083.467,
2013-01,4427.886,
2013-04,4246.099,
2013-07,4037.200,
2013-10,4211.163,
2014-01,4230.736,Provisional value
2014-04,4566.237,Provisional value
2014-07,3897.262,Provisional value
