"",BBK01.OEAH88L,BBK01.OEAH88L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:34,
2002-01,57.518,
2002-04,46.004,
2002-07,56.732,
2002-10,43.121,
2003-01,61.111,
2003-04,53.727,
2003-07,66.467,
2003-10,56.810,
2004-01,57.331,
2004-04,45.849,
2004-07,58.330,
2004-10,78.190,
2005-01,65.703,
2005-04,62.466,
2005-07,70.568,
2005-10,67.724,
2006-01,61.270,
2006-04,56.597,
2006-07,72.498,
2006-10,65.030,
2007-01,64.410,
2007-04,66.289,
2007-07,57.640,
2007-10,63.850,
2008-01,72.927,
2008-04,53.029,
2008-07,57.741,
2008-10,39.969,
2009-01,24.370,
2009-04,24.693,
2009-07,26.707,
2009-10,26.157,
2010-01,25.268,
2010-04,27.139,
2010-07,30.619,
2010-10,28.454,
2011-01,26.286,
2011-04,25.895,
2011-07,26.400,
2011-10,24.104,
2012-01,25.061,
2012-04,22.810,
2012-07,24.682,
2012-10,26.694,
2013-01,27.517,
2013-04,34.303,
2013-07,29.071,
2013-10,41.383,
2014-01,31.194,
2014-04,26.000,
2014-07,35.127,
