"",BBK01.OEYO03M,BBK01.OEYO03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:12,
2002-01,0.323,
2002-04,0.270,
2002-07,0.220,
2002-10,0.212,
2003-01,0.224,
2003-04,0.211,
2003-07,0.282,
2003-10,0.205,
2004-01,0.240,
2004-04,0.205,
2004-07,0.174,
2004-10,0.188,
2005-01,0.170,
2005-04,0.154,
2005-07,0.131,
2005-10,0.149,
2006-01,0.172,
2006-04,0.152,
2006-07,0.178,
2006-10,0.166,
2007-01,0.156,
2007-04,0.149,
2007-07,0.164,
2007-10,0.191,
2008-01,0.200,
2008-04,0.187,
2008-07,0.201,
2008-10,0.169,
2009-01,0.161,
2009-04,0.218,
2009-07,0.163,
2009-10,0.300,
2010-01,0.095,
2010-04,0.076,
2010-07,0.075,
2010-10,0.087,
2011-01,0.110,
2011-04,0.064,
2011-07,0.073,
2011-10,0.106,
2012-01,0.090,
2012-04,0.088,
2012-07,0.094,
2012-10,0.142,
2013-01,0.107,
2013-04,0.086,
2013-07,0.083,
2013-10,0.095,
2014-01,0.187,
2014-04,0.169,
2014-07,0.109,
