"",BBFB1.Q.N.DE.IE.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:43,
1991-01,-2.394,
1991-04,-2.394,
1991-07,-2.394,
1991-10,-2.394,
1992-01,-1.473,
1992-04,-1.473,
1992-07,-1.473,
1992-10,-10.676,
1993-01,7.646,
1993-04,7.646,
1993-07,7.646,
1993-10,7.646,
1994-01,-3.445,
1994-04,-3.445,
1994-07,-3.445,
1994-10,-3.445,
1995-01,-0.736,
1995-04,-0.736,
1995-07,-0.736,
1995-10,-0.736,
1996-01,4.091,
1996-04,4.091,
1996-07,4.091,
1996-10,4.091,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-0.085,
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,25.000,
1999-04,24.000,
1999-07,24.000,
1999-10,-58.318,
2000-01,5.974,
2000-04,6.000,
2000-07,8.000,
2000-10,9.000,
2001-01,21.596,
2001-04,26.410,
2001-07,28.410,
2001-10,7.596,
2002-01,129.372,
2002-04,154.340,
2002-07,168.035,
2002-10,193.816,
2003-01,37.443,
2003-04,50.048,
2003-07,56.475,
2003-10,64.955,
2004-01,50.319,
2004-04,-339.376,
2004-07,48.095,
2004-10,55.177,
2005-01,17.883,
2005-04,-158.365,
2005-07,11.872,
2005-10,18.610,
2006-01,-177.390,
2006-04,1.966,
2006-07,-0.321,
2006-10,5.746,
2007-01,-13.122,
2007-04,-123.971,
2007-07,-381.690,
2007-10,-6.269,
2008-01,433.188,
2008-04,-247.218,
2008-07,-428.277,
2008-10,-132.351,
2009-01,-0.518,
2009-04,25.487,
2009-07,78.504,
2009-10,126.525,
2010-01,-40.152,
2010-04,-49.484,
2010-07,-56.664,
2010-10,-65.709,
2011-01,-249.426,
2011-04,-214.804,
2011-07,-220.144,
2011-10,-242.626,
2012-01,-260.027,
2012-04,-276.028,
2012-07,-276.496,
2012-10,-276.520,
2013-01,-17.467,
2013-04,-16.460,
2013-07,-15.902,
2013-10,-23.784,
2014-01,-16.502,Provisional value
2014-04,-17.364,Provisional value
2014-07,-17.526,Provisional value
2014-10,-16.609,Provisional value
