"",BBK01.OECI04Q,BBK01.OECI04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:42,
2002-01,0.750,
2002-04,0.642,
2002-07,0.688,
2002-10,0.630,
2003-01,0.710,
2003-04,0.634,
2003-07,0.707,
2003-10,0.663,
2004-01,0.561,
2004-04,0.574,
2004-07,0.509,
2004-10,1.032,
2005-01,1.054,
2005-04,0.922,
2005-07,0.973,
2005-10,1.061,
2006-01,1.122,
2006-04,1.174,
2006-07,1.303,
2006-10,1.417,
2007-01,1.448,
2007-04,1.599,
2007-07,1.729,
2007-10,2.103,
2008-01,2.259,
2008-04,2.364,
2008-07,2.671,
2008-10,2.637,
2009-01,1.987,
2009-04,1.928,
2009-07,1.595,
2009-10,1.285,
2010-01,0.987,
2010-04,0.844,
2010-07,0.745,
2010-10,0.696,
2011-01,0.695,
2011-04,0.718,
2011-07,0.658,
2011-10,0.771,
2012-01,0.825,
2012-04,0.764,
2012-07,0.808,
2012-10,0.621,
2013-01,0.510,
2013-04,0.536,
2013-07,0.476,
2013-10,0.521,
2014-01,0.615,
2014-04,0.575,
2014-07,0.533,
