"",BBDA1.M.DE.N.IM.S.A.KR.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.KR.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Korea, Republic of / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:40:06,
1990-07,160068,
1990-08,232174,
1990-09,205375,
1990-10,233086,
1990-11,237434,
1990-12,191974,
1991-01,248579,
1991-02,238340,
1991-03,209857,
1991-04,225138,
1991-05,214038,
1991-06,211938,
1991-07,229835,
1991-08,268541,
1991-09,255378,
1991-10,301281,
1991-11,218378,
1991-12,233952,
1992-01,241189,
1992-02,254626,
1992-03,242580,
1992-04,235870,
1992-05,184502,
1992-06,229669,
1992-07,261191,
1992-08,193233,
1992-09,222184,
1992-10,234173,
1992-11,212566,
1992-12,237720,
1993-01,184305,
1993-02,239300,
1993-03,216618,
1993-04,237408,
1993-05,193342,
1993-06,246009,
1993-07,238796,
1993-08,231632,
1993-09,262810,
1993-10,334628,
1993-11,267807,
1993-12,256780,
1994-01,366611,
1994-02,257906,
1994-03,300059,
1994-04,241105,
1994-05,286126,
1994-06,243630,
1994-07,320084,
1994-08,294441,
1994-09,277106,
1994-10,279765,
1994-11,286763,
1994-12,337254,
1995-01,227762,
1995-02,262733,
1995-03,356921,
1995-04,254991,
1995-05,262951,
1995-06,337628,
1995-07,273336,
1995-08,317153,
1995-09,361307,
1995-10,383038,
1995-11,387756,
1995-12,438204,
1996-01,313801,
1996-02,293501,
1996-03,321630,
1996-04,298854,
1996-05,312306,
1996-06,295923,
1996-07,246963,
1996-08,214997,
1996-09,274177,
1996-10,242001,
1996-11,288113,
1996-12,213927,
1997-01,331394,
1997-02,264108,
1997-03,233404,
1997-04,292646,
1997-05,256120,
1997-06,258190,
1997-07,294667,
1997-08,286942,
1997-09,315250,
1997-10,314651,
1997-11,255589,
1997-12,272231,
1998-01,289598,
1998-02,343625,
1998-03,301444,
1998-04,323014,
1998-05,225143,
1998-06,291730,
1998-07,241181,
1998-08,285503,
1998-09,314178,
1998-10,294036,
1998-11,311734,
1998-12,261919,
1999-01,336776,
1999-02,317913,
1999-03,315046,
1999-04,311593,
1999-05,307359,
1999-06,327089,
1999-07,374529,
1999-08,335322,
1999-09,384920,
1999-10,364296,
1999-11,366074,
1999-12,367872,
2000-01,371990,
2000-02,368410,
2000-03,437568,
2000-04,403961,
2000-05,564805,
2000-06,526173,
2000-07,451060,
2000-08,509432,
2000-09,552390,
2000-10,557880,
2000-11,667217,
2000-12,471586,
2001-01,453895,
2001-02,385794,
2001-03,430067,
2001-04,395092,
2001-05,390599,
2001-06,363676,
2001-07,348193,
2001-08,370963,
2001-09,372596,
2001-10,520964,
2001-11,431143,
2001-12,434078,
2002-01,391881,
2002-02,361855,
2002-03,455190,
2002-04,389167,
2002-05,348551,
2002-06,344604,
2002-07,358647,
2002-08,388013,
2002-09,392311,
2002-10,401276,
2002-11,495365,
2002-12,386354,
2003-01,452558,
2003-02,442962,
2003-03,475471,
2003-04,406341,
2003-05,409612,
2003-06,441518,
2003-07,408225,
2003-08,426371,
2003-09,444713,
2003-10,579196,
2003-11,683941,
2003-12,553106,
2004-01,590909,
2004-02,539783,
2004-03,542601,
2004-04,605608,
2004-05,560226,
2004-06,559516,
2004-07,715638,
2004-08,636950,
2004-09,674421,
2004-10,781609,
2004-11,836267,
2004-12,684375,
2005-01,735922,
2005-02,637207,
2005-03,607656,
2005-04,742261,
2005-05,847359,
2005-06,799241,
2005-07,712622,
2005-08,689108,
2005-09,706001,
2005-10,925602,
2005-11,1004864,
2005-12,1192335,
2006-01,767663,
2006-02,721826,
2006-03,905605,
2006-04,807959,
2006-05,1078453,
2006-06,1116811,
2006-07,914352,
2006-08,891539,
2006-09,1046380,
2006-10,1009800,
2006-11,1290039,
2006-12,898456,
2007-01,921577,
2007-02,1064766,
2007-03,928135,
2007-04,1009668,
2007-05,964204,
2007-06,835786,
2007-07,878749,
2007-08,821362,
2007-09,771479,
2007-10,1031815,
2007-11,823457,
2007-12,734877,
2008-01,738508,
2008-02,740366,
2008-03,1123385,
2008-04,621972,
2008-05,861310,
2008-06,614866,
2008-07,601335,
2008-08,834636,
2008-09,603851,
2008-10,638737,
2008-11,731630,
2008-12,1069425,
2009-01,561478,
2009-02,768873,
2009-03,588687,
2009-04,707454,
2009-05,488746,
2009-06,572421,
2009-07,714690,
2009-08,687611,
2009-09,993124,
2009-10,632412,
2009-11,611430,
2009-12,474884,
2010-01,836679,
2010-02,600204,
2010-03,1140275,
2010-04,967082,
2010-05,1012479,
2010-06,1215542,
2010-07,1102440,
2010-08,970332,
2010-09,814093,
2010-10,705993,
2010-11,1307092,
2010-12,598360,
2011-01,1040875,
2011-02,981876,
2011-03,665646,
2011-04,826792,
2011-05,868814,
2011-06,648127,
2011-07,1047470,
2011-08,641267,
2011-09,789534,
2011-10,640823,
2011-11,830889,
2011-12,640568,
2012-01,799866,
2012-02,959675,
2012-03,638465,
2012-04,653263,
2012-05,759362,
2012-06,672240,
2012-07,568353,
2012-08,799720,
2012-09,603970,
2012-10,818386,
