"",BBK01.OEAC01T,BBK01.OEAC01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:32,
2002-01,10.674,
2002-04,10.706,
2002-07,10.784,
2002-10,10.701,
2003-01,11.297,
2003-04,11.166,
2003-07,11.270,
2003-10,11.256,
2004-01,11.183,
2004-04,11.165,
2004-07,11.020,
2004-10,11.048,
2005-01,10.945,
2005-04,10.791,
2005-07,10.725,
2005-10,10.684,
2006-01,10.623,
2006-04,10.695,
2006-07,10.726,
2006-10,10.710,
2007-01,10.652,
2007-04,10.456,
2007-07,10.580,
2007-10,10.580,
2008-01,10.775,
2008-04,10.912,
2008-07,11.015,
2008-10,11.241,
2009-01,11.735,
2009-04,11.716,
2009-07,11.820,
2009-10,12.262,
2010-01,12.351,
2010-04,12.472,
2010-07,12.768,
2010-10,12.693,
2011-01,12.937,
2011-04,13.204,
2011-07,13.447,
2011-10,13.736,
2012-01,14.068,
2012-04,14.472,
2012-07,14.759,
2012-10,14.904,
2013-01,15.106,
2013-04,15.505,
2013-07,15.489,
2013-10,15.401,
2014-01,15.438,
2014-04,15.563,
2014-07,15.801,
