"",BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F89.T._T._X.N,BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F89.T._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Other accounts receivable / Enterprises and households / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:56,
1991-01,13.407,
1991-02,14.852,
1991-03,12.380,
1991-04,19.011,
1991-05,41.396,
1991-06,170.196,
1991-07,22.739,
1991-08,18.274,
1991-09,151.010,
1991-10,18.136,
1991-11,2.953,
1991-12,54.289,
1992-01,-2.341,
1992-02,5.534,
1992-03,6.767,
1992-04,8.881,
1992-05,8.319,
1992-06,5.077,
1992-07,7.637,
1992-08,7.680,
1992-09,22.546,
1992-10,16.267,
1992-11,5.930,
1992-12,119.494,
1993-01,-20.677,
1993-02,21.478,
1993-03,20.181,
1993-04,17.835,
1993-05,21.339,
1993-06,68.652,
1993-07,11.186,
1993-08,15.855,
1993-09,4.244,
1993-10,13.808,
1993-11,14.425,
1993-12,91.930,
1994-01,21.718,
1994-02,3.040,
1994-03,10.087,
1994-04,2.191,
1994-05,3.275,
1994-06,47.591,
1994-07,4.644,
1994-08,3.812,
1994-09,19.054,
1994-10,8.796,
1994-11,-1.968,
1994-12,38.442,
1995-01,13.108,
1995-02,6.194,
1995-03,55.812,
1995-04,11.385,
1995-05,57.914,
1995-06,254.081,
1995-07,2.442,
1995-08,238.101,
1995-09,34.040,
1995-10,67.611,
1995-11,218.498,
1995-12,209.727,
1996-01,-21.472,
1996-02,20.288,
1996-03,9.549,
1996-04,13.005,
1996-05,33.544,
1996-06,140.000,
1996-07,68.636,
1996-08,44.551,
1996-09,128.868,
1996-10,-17.150,
1996-11,64.987,
1996-12,457.408,
1997-01,46.594,
1997-02,0.909,
1997-03,-37.444,
1997-04,47.077,
1997-05,-11.366,
1997-06,167.376,
1997-07,95.429,
1997-08,3.078,
1997-09,34.022,
1997-10,92.211,
1997-11,73.774,
1997-12,214.285,
1998-01,24.250,
1998-02,103.762,
1998-03,149.835,
1998-04,23.413,
1998-05,144.347,
1998-06,247.039,
1998-07,107.331,
1998-08,158.351,
1998-09,159.953,
1998-10,70.987,
1998-11,-0.063,
1998-12,295.032,
1999-01,-44.048,
1999-02,7.595,
1999-03,19.087,
1999-04,-21.854,
1999-05,85.437,
1999-06,102.800,
1999-07,52.188,
1999-08,119.989,
1999-09,117.111,
1999-10,9.968,
1999-11,101.902,
1999-12,722.238,
2000-01,24.759,
2000-02,38.827,
2000-03,379.741,
