"",BBFN1.M.DE.N.1.A.BM.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BM.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Bermuda,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:08,
1994-12,0.242,
1995-01,0.213,
1995-02,0.214,
1995-03,0.186,
1995-04,0.183,
1995-05,0.694,
1995-06,0.443,
1995-07,0.910,
1995-08,0.931,
1995-09,0.859,
1995-10,0.480,
1995-11,0.215,
1995-12,0.238,
1996-01,0.207,
1996-02,0.295,
1996-03,0.292,
1996-04,0.474,
1996-05,0.466,
1996-06,0.377,
1996-07,0.244,
1996-08,0.191,
1996-09,0.190,
1996-10,0.175,
1996-11,0.183,
1996-12,0.376,
1997-01,0.144,
1997-02,0.180,
1997-03,0.352,
1997-04,0.328,
1997-05,0.243,
1997-06,0.416,
1997-07,0.302,
1997-08,0.150,
1997-09,0.381,
1997-10,0.431,
1997-11,0.389,
1997-12,0.737,
1998-01,0.630,
1998-02,0.873,
1998-03,0.917,
1998-04,0.814,
1998-05,0.904,
1998-06,1.033,
1998-07,0.761,
1998-08,0.626,
1998-09,1.008,
1998-10,1.099,
1998-11,1.273,
1998-12,1.103,
1999-01,1.112,
1999-02,0.938,
1999-03,1.169,
1999-04,1.082,
1999-05,0.910,
1999-06,1.126,
1999-07,1.319,
1999-08,1.256,
1999-09,1.541,
1999-10,1.525,
1999-11,1.471,
1999-12,1.179,
2000-01,1.268,
2000-02,1.249,
2000-03,1.287,
2000-04,0.984,
2000-05,1.161,
2000-06,1.295,
2000-07,0.958,
2000-08,1.267,
2000-09,0.959,
2000-10,1.799,
2000-11,1.692,
2000-12,1.554,
2001-01,1.370,
2001-02,2.187,
2001-03,2.036,
2001-04,2.146,
2001-05,2.026,
2001-06,1.395,
2001-07,0.911,
2001-08,1.213,
2001-09,1.406,
2001-10,1.506,
2001-11,1.267,
2001-12,3.505,
2002-01,2.778,
2002-02,1.336,
2002-03,1.043,
2002-04,1.327,
2002-05,1.250,
2002-06,1.545,
2002-07,1.123,
2002-08,0.946,
2002-09,1.461,
2002-10,1.102,
2002-11,1.178,
2002-12,1.100,
2003-01,0.957,
2003-02,1.110,
2003-03,1.257,
2003-04,0.893,
2003-05,0.913,
2003-06,0.656,
2003-07,0.721,
2003-08,0.696,
2003-09,1.014,
2003-10,1.441,
2003-11,1.201,
2003-12,0.673,
2004-01,0.711,
2004-02,0.977,
2004-03,0.677,
2004-04,0.489,
2004-05,0.581,
2004-06,0.712,
2004-07,0.678,
2004-08,0.548,
2004-09,0.477,
2004-10,0.876,
2004-11,0.716,
2004-12,1.191,
2005-01,0.995,
2005-02,1.192,
2005-03,0.715,
2005-04,0.736,
2005-05,0.813,
2005-06,0.815,
2005-07,0.800,
2005-08,1.049,
2005-09,0.703,
2005-10,1.268,
2005-11,1.299,
2005-12,1.176,
2006-01,1.196,
2006-02,1.261,
2006-03,1.179,
2006-04,1.104,
2006-05,1.020,
2006-06,1.059,
2006-07,1.042,
2006-08,0.994,
2006-09,1.082,
2006-10,1.066,
2006-11,1.115,
2006-12,1.007,
2007-01,0.648,
2007-02,0.698,
2007-03,0.590,
2007-04,0.643,
2007-05,0.524,
2007-06,0.767,
2007-07,0.708,
2007-08,0.695,
2007-09,0.683,
2007-10,0.667,
2007-11,0.820,
2007-12,0.847,
2008-01,0.825,
2008-02,0.824,
2008-03,0.715,
2008-04,0.637,
2008-05,0.650,
2008-06,0.702,
2008-07,0.690,
2008-08,0.687,
2008-09,0.771,
2008-10,0.835,
2008-11,0.843,
2008-12,0.921,
2009-01,0.978,
2009-02,0.948,
2009-03,0.874,
2009-04,0.852,
2009-05,0.853,
2009-06,1.026,
2009-07,0.979,
2009-08,0.978,
2009-09,0.978,
2009-10,0.978,
2009-11,0.973,
2009-12,0.428,
2010-01,0.748,
2010-02,0.781,
2010-03,0.554,
2010-04,0.568,
2010-05,0.574,
2010-06,0.605,
2010-07,0.595,
2010-08,0.640,
2010-09,0.314,
2010-10,0.336,
2010-11,0.355,
2010-12,0.429,
2011-01,0.429,
2011-02,0.358,
2011-03,0.309,
2011-04,0.212,
2011-05,0.194,
2011-06,0.273,
2011-07,0.274,
2011-08,0.251,
2011-09,0.339,
2011-10,0.284,
2011-11,0.291,
2011-12,0.397,
2012-01,0.385,
2012-02,0.366,
2012-03,0.449,
2012-04,0.399,
2012-05,0.446,
2012-06,0.418,
2012-07,0.466,
2012-08,0.386,
2012-09,0.471,
2012-10,0.500,
2012-11,0.469,
2012-12,0.675,
2013-01,0.655,
2013-02,0.629,
2013-03,0.453,
2013-04,0.423,
2013-05,0.538,
2013-06,0.410,
2013-07,0.402,
2013-08,0.381,
2013-09,0.565,
2013-10,0.490,
2013-11,0.439,
2013-12,0.598,
2014-01,0.597,
2014-02,0.536,
2014-03,0.376,
2014-04,0.334,
2014-05,0.341,
2014-06,0.371,
2014-07,0.395,
2014-08,0.393,
2014-09,0.413,
2014-10,0.426,
2014-11,0.427,
2014-12,0.807,
