"",BBK01.OECK03M,BBK01.OECK03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:52,
2002-01,0.239,
2002-04,0.218,
2002-07,0.219,
2002-10,0.221,
2003-01,0.186,
2003-04,0.272,
2003-07,0.262,
2003-10,0.207,
2004-01,0.258,
2004-04,0.246,
2004-07,0.239,
2004-10,0.268,
2005-01,0.310,
2005-04,0.311,
2005-07,0.294,
2005-10,0.267,
2006-01,0.279,
2006-04,0.295,
2006-07,0.312,
2006-10,0.282,
2007-01,0.304,
2007-04,0.381,
2007-07,0.410,
2007-10,0.469,
2008-01,0.470,
2008-04,0.500,
2008-07,0.555,
2008-10,0.516,
2009-01,0.412,
2009-04,0.333,
2009-07,0.283,
2009-10,0.167,
2010-01,0.098,
2010-04,0.085,
2010-07,0.064,
2010-10,0.065,
2011-01,0.076,
2011-04,0.073,
2011-07,0.073,
2011-10,0.079,
2012-01,0.092,
2012-04,0.067,
2012-07,0.066,
2012-10,0.046,
2013-01,0.033,
2013-04,0.031,
2013-07,0.036,
2013-10,0.036,
2014-01,0.033,
2014-04,0.030,
2014-07,0.026,
