"",BBFN1.M.DE.N.1.A.US.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.US.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1993-11,0.209,
1993-12,0.208,
1994-01,0.203,
1994-02,0.203,
1994-03,0.200,
1994-04,0.199,
1994-05,0.200,
1994-06,0.202,
1994-07,0.209,
1994-08,0.171,
1994-09,0.168,
1994-10,0.163,
1994-11,0.162,
1994-12,0.156,
1995-01,0.041,
1995-02,0.040,
1995-03,0.040,
1995-04,0.040,
1995-05,0.045,
1995-06,0.069,
1995-07,0.182,
1995-08,0.164,
1995-09,0.152,
1995-10,0.172,
1995-11,0.155,
1995-12,0.150,
1996-01,0.142,
1996-02,0.130,
1996-03,0.130,
1996-04,0.125,
1996-05,0.110,
1996-06,0.065,
1996-07,0.060,
1996-08,0.045,
1996-09,0.056,
1996-10,0.054,
1996-11,0.054,
1996-12,0.019,
1997-01,0.020,
1997-02,0.020,
1997-03,0.020,
1997-04,0.021,
1997-05,0.017,
1997-06,.,No value available
1997-07,0.017,
1997-08,0.020,
1997-09,0.040,
1997-10,0.044,
1997-11,0.045,
1997-12,0.050,
1998-01,0.059,
1998-02,0.060,
1998-03,0.055,
1998-04,0.059,
1998-05,0.059,
1998-06,0.060,
1998-07,0.059,
1998-08,0.060,
1998-09,0.050,
1998-10,0.049,
1998-11,0.052,
1998-12,0.052,
1999-01,0.052,
1999-02,0.051,
1999-03,0.052,
1999-04,0.051,
1999-05,0.051,
1999-06,0.056,
1999-07,0.050,
1999-08,0.048,
1999-09,0.047,
1999-10,0.047,
1999-11,0.048,
1999-12,0.048,
2000-01,0.050,
2000-02,0.050,
2000-03,0.051,
2000-04,0.052,
2000-05,0.051,
2000-06,0.051,
2000-07,0.051,
2000-08,0.053,
2000-09,0.048,
2000-10,0.047,
2000-11,0.046,
2000-12,0.045,
2001-01,0.045,
2001-02,0.045,
2001-03,0.048,
2001-04,0.048,
2001-05,0.048,
2001-06,0.049,
2001-07,0.048,
2001-08,0.048,
2001-09,0.047,
2001-10,0.048,
2001-11,0.048,
2001-12,0.049,
2002-01,0.050,
2002-02,0.052,
2002-03,0.054,
2002-04,0.053,
2002-05,0.052,
2002-06,0.053,
2002-07,0.053,
2002-08,0.052,
2002-09,0.052,
2002-10,0.052,
2002-11,0.051,
2002-12,0.050,
2003-01,0.049,
2003-02,0.058,
2003-03,0.057,
2003-04,0.056,
2003-05,0.056,
2003-06,0.056,
2003-07,0.066,
2003-08,0.066,
2003-09,0.066,
2003-10,0.066,
2003-11,0.066,
2003-12,0.065,
2004-01,0.066,
2004-02,0.066,
2004-03,0.074,
2004-04,0.068,
2004-05,0.067,
2004-06,0.068,
2004-07,0.069,
2004-08,0.069,
2004-09,0.068,
2004-10,0.084,
2004-11,0.083,
2004-12,0.082,
2005-01,0.083,
2005-02,0.083,
2005-03,0.083,
2005-04,0.070,
2005-05,0.072,
2005-06,0.094,
2005-07,0.094,
2005-08,0.093,
2005-09,0.092,
2005-10,0.092,
2005-11,0.094,
2005-12,0.094,
2006-01,0.094,
2006-02,0.094,
2006-03,0.170,
2006-04,0.170,
2006-05,0.177,
2006-06,0.169,
2006-07,0.169,
2006-08,0.169,
2006-09,0.168,
2006-10,0.168,
2006-11,0.169,
2006-12,0.318,
2007-01,0.318,
2007-02,0.318,
2007-03,0.295,
2007-04,0.294,
2007-05,0.302,
2007-06,0.302,
2007-07,0.289,
2007-08,1.029,
2007-09,0.651,
2007-10,0.751,
2007-11,0.804,
2007-12,1.244,
2008-01,1.279,
2008-02,1.279,
2008-03,1.326,
2008-04,1.291,
2008-05,1.291,
2008-06,1.397,
2008-07,1.272,
2008-08,1.280,
2008-09,1.280,
2008-10,1.281,
2008-11,1.431,
2008-12,1.412,
2009-01,1.414,
2009-02,1.414,
2009-03,1.413,
2009-04,1.434,
2009-05,1.433,
2009-06,1.433,
2009-07,1.432,
2009-08,1.478,
2009-09,1.454,
2009-10,1.459,
2009-11,1.616,
2009-12,1.277,
2010-01,1.270,
2010-02,1.274,
2010-03,1.272,
2010-04,1.272,
2010-05,1.274,
2010-06,1.311,
2010-07,1.365,
2010-08,1.395,
2010-09,1.388,
2010-10,1.388,
2010-11,1.389,
2010-12,1.188,
2011-01,1.222,
2011-02,1.197,
2011-03,1.193,
2011-04,1.018,
2011-05,1.173,
2011-06,1.173,
2011-07,1.173,
2011-08,1.173,
2011-09,1.172,
2011-10,1.171,
2011-11,1.179,
2011-12,0.965,
2012-01,0.965,
2012-02,0.966,
2012-03,0.962,
2012-04,0.963,
2012-05,0.964,
2012-06,0.964,
2012-07,0.964,
2012-08,0.963,
2012-09,0.963,
2012-10,0.927,
2012-11,0.870,
2012-12,0.900,
2013-01,0.900,
2013-02,0.854,
2013-03,0.887,
2013-04,0.875,
2013-05,0.921,
2013-06,0.963,
2013-07,1.004,
2013-08,0.973,
2013-09,0.962,
2013-10,0.937,
2013-11,0.947,
2013-12,1.017,
2014-01,1.005,
2014-02,1.187,
2014-03,1.197,
2014-04,1.206,
2014-05,1.228,
2014-06,1.238,
2014-07,1.248,
2014-08,1.248,
2014-09,1.246,
2014-10,1.245,
2014-11,1.250,
2014-12,1.176,
