"",BBK01.CELN0J,BBK01.CELN0J_FLAGS
"",Transferable deposits  debtor: Total            creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:39,
1999-01,2.2,
1999-04,14.0,
1999-07,2.2,
1999-10,7.5,
2000-01,8.9,
2000-04,-6.5,
2000-07,-3.9,
2000-10,6.2,
2001-01,7.5,
2001-04,12.4,
2001-07,10.8,
2001-10,30.2,
2002-01,4.9,
2002-04,13.0,
2002-07,-1.9,
2002-10,17.1,
2003-01,12.9,
2003-04,9.9,
2003-07,4.4,
2003-10,8.2,
2004-01,8.9,
2004-04,7.9,
2004-07,-0.6,
2004-10,10.5,
2005-01,7.3,
2005-04,10.4,
2005-07,3.1,
2005-10,13.4,
2006-01,1.1,
2006-04,4.4,
2006-07,-11.4,
2006-10,8.1,
2007-01,-0.4,
2007-04,12.6,
2007-07,0.1,
2007-10,9.5,
2008-01,-4.6,
2008-04,-1.8,
2008-07,-2.8,
2008-10,31.8,
2009-01,47.9,
2009-04,31.6,
2009-07,25.0,
2009-10,33.0,
2010-01,16.9,
2010-04,19.3,
2010-07,6.1,
2010-10,17.9,
2011-01,-0.4,
2011-04,8.7,
2011-07,8.1,
2011-10,17.2,
2012-01,10.5,
2012-04,22.6,
2012-07,25.2,
2012-10,31.7,
2013-01,18.4,
2013-04,25.7,
2013-07,16.4,
2013-10,28.9,
2014-01,8.4,
2014-04,19.9,
2014-07,11.9,
