"",BBK01.OEAC58H,BBK01.OEAC58H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:54,
2002-01,9.898,
2002-04,9.791,
2002-07,9.942,
2002-10,9.859,
2003-01,10.225,
2003-04,9.423,
2003-07,4.770,
2003-10,4.747,
2004-01,4.583,
2004-04,4.508,
2004-07,4.385,
2004-10,4.268,
2005-01,4.165,
2005-04,4.073,
2005-07,4.069,
2005-10,4.117,
2006-01,4.150,
2006-04,4.244,
2006-07,4.287,
2006-10,4.391,
2007-01,4.299,
2007-04,4.325,
2007-07,4.221,
2007-10,4.228,
2008-01,4.399,
2008-04,4.494,
2008-07,4.308,
2008-10,4.333,
2009-01,4.301,
2009-04,4.283,
2009-07,4.429,
2009-10,4.404,
2010-01,4.505,
2010-04,4.913,
2010-07,4.740,
2010-10,4.687,
2011-01,4.524,
2011-04,4.209,
2011-07,4.294,
2011-10,4.323,
2012-01,4.335,
2012-04,4.868,
2012-07,4.936,
2012-10,4.847,
2013-01,4.864,
2013-04,4.931,
2013-07,4.977,
2013-10,5.002,
2014-01,4.940,
2014-04,4.990,
2014-07,5.099,
