"",BBK01.OEAH60L,BBK01.OEAH60L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:24,
2002-01,8.703,
2002-04,8.178,
2002-07,8.077,
2002-10,8.138,
2003-01,7.698,
2003-04,7.169,
2003-07,7.071,
2003-10,6.648,
2004-01,6.554,
2004-04,6.452,
2004-07,6.155,
2004-10,6.693,
2005-01,5.998,
2005-04,5.778,
2005-07,6.171,
2005-10,6.482,
2006-01,7.735,
2006-04,8.241,
2006-07,12.550,
2006-10,14.103,
2007-01,16.855,
2007-04,18.780,
2007-07,21.779,
2007-10,24.916,
2008-01,27.823,
2008-04,31.662,
2008-07,34.257,
2008-10,34.315,
2009-01,29.203,
2009-04,29.019,
2009-07,24.485,
2009-10,20.662,
2010-01,21.097,
2010-04,20.374,
2010-07,20.247,
2010-10,21.225,
2011-01,20.190,
2011-04,20.984,
2011-07,22.282,
2011-10,23.076,
2012-01,24.840,
2012-04,26.808,
2012-07,27.665,
2012-10,26.546,
2013-01,26.266,
2013-04,25.366,
2013-07,22.923,
2013-10,21.943,
2014-01,22.304,
2014-04,23.020,
2014-07,22.867,
