"",BBFN1.M.DE.N.1.L.KR.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KR.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"","Liabilities of enterprises vis-à-vis non-residents / Total / Korea, Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:29,
1994-12,1.090,
1995-01,1.115,
1995-02,1.154,
1995-03,1.156,
1995-04,1.174,
1995-05,1.188,
1995-06,1.054,
1995-07,1.163,
1995-08,1.201,
1995-09,1.230,
1995-10,1.163,
1995-11,1.116,
1995-12,1.111,
1996-01,1.156,
1996-02,1.177,
1996-03,1.297,
1996-04,1.342,
1996-05,1.348,
1996-06,1.276,
1996-07,1.289,
1996-08,1.295,
1996-09,1.156,
1996-10,1.220,
1996-11,1.196,
1996-12,1.164,
1997-01,1.227,
1997-02,1.204,
1997-03,1.273,
1997-04,1.278,
1997-05,1.432,
1997-06,1.528,
1997-07,1.523,
1997-08,1.572,
1997-09,1.592,
1997-10,1.649,
1997-11,1.596,
1997-12,1.654,
1998-01,1.642,
1998-02,1.638,
1998-03,1.632,
1998-04,1.661,
1998-05,1.489,
1998-06,1.507,
1998-07,1.390,
1998-08,1.276,
1998-09,1.304,
1998-10,1.279,
1998-11,1.329,
1998-12,1.305,
1999-01,1.311,
1999-02,1.182,
1999-03,1.397,
1999-04,1.427,
1999-05,1.262,
1999-06,1.093,
1999-07,1.130,
1999-08,1.164,
1999-09,1.109,
1999-10,1.159,
1999-11,1.466,
1999-12,1.261,
2000-01,1.246,
2000-02,1.234,
2000-03,1.111,
2000-04,1.115,
2000-05,1.054,
2000-06,1.067,
2000-07,1.037,
2000-08,1.226,
2000-09,1.210,
2000-10,1.244,
2000-11,1.386,
2000-12,1.440,
2001-01,1.369,
2001-02,1.367,
2001-03,1.494,
2001-04,1.436,
2001-05,1.458,
2001-06,1.418,
2001-07,1.340,
2001-08,1.333,
2001-09,1.328,
2001-10,1.225,
2001-11,1.297,
2001-12,1.383,
2002-01,1.358,
2002-02,1.283,
2002-03,1.313,
2002-04,1.264,
2002-05,1.272,
2002-06,1.264,
2002-07,1.257,
2002-08,1.393,
2002-09,1.303,
2002-10,1.314,
2002-11,1.391,
2002-12,1.288,
2003-01,1.388,
2003-02,1.361,
2003-03,1.468,
2003-04,1.433,
2003-05,1.461,
2003-06,1.474,
2003-07,1.656,
2003-08,1.704,
2003-09,1.727,
2003-10,1.767,
2003-11,1.788,
2003-12,1.800,
2004-01,1.904,
2004-02,1.961,
2004-03,1.944,
2004-04,1.984,
2004-05,1.976,
2004-06,1.840,
2004-07,1.852,
2004-08,1.927,
2004-09,1.955,
2004-10,1.991,
2004-11,2.769,
2004-12,2.681,
2005-01,2.802,
2005-02,2.823,
2005-03,2.948,
2005-04,3.008,
2005-05,3.106,
2005-06,3.324,
2005-07,3.453,
2005-08,3.535,
2005-09,3.541,
2005-10,3.561,
2005-11,3.630,
2005-12,3.817,
2006-01,3.745,
2006-02,3.723,
2006-03,3.775,
2006-04,3.379,
2006-05,3.496,
2006-06,3.768,
2006-07,3.725,
2006-08,3.857,
2006-09,4.206,
2006-10,4.456,
2006-11,4.480,
2006-12,4.442,
2007-01,4.254,
2007-02,4.204,
2007-03,4.365,
2007-04,4.339,
2007-05,4.172,
2007-06,4.358,
2007-07,4.223,
2007-08,4.428,
2007-09,4.458,
2007-10,4.444,
2007-11,4.473,
2007-12,4.355,
2008-01,4.150,
2008-02,3.992,
2008-03,3.912,
2008-04,3.696,
2008-05,3.577,
2008-06,3.615,
2008-07,3.774,
2008-08,3.751,
2008-09,3.755,
2008-10,3.686,
2008-11,3.639,
2008-12,3.252,
2009-01,3.130,
2009-02,3.403,
2009-03,3.423,
2009-04,3.166,
2009-05,3.181,
2009-06,2.831,
2009-07,2.827,
2009-08,3.002,
2009-09,3.185,
2009-10,3.256,
2009-11,3.193,
2009-12,3.295,
2010-01,3.336,
2010-02,3.375,
2010-03,3.434,
2010-04,3.420,
2010-05,3.966,
2010-06,3.954,
2010-07,3.828,
2010-08,3.948,
2010-09,4.043,
2010-10,4.038,
2010-11,3.521,
2010-12,3.602,
2011-01,3.565,
2011-02,3.809,
2011-03,3.778,
2011-04,3.803,
2011-05,3.769,
2011-06,3.905,
2011-07,3.784,
2011-08,3.838,
2011-09,3.962,
2011-10,4.095,
2011-11,3.956,
2011-12,3.961,
2012-01,4.062,
2012-02,4.016,
2012-03,4.137,
2012-04,4.202,
2012-05,4.028,
2012-06,4.435,
2012-07,4.442,
2012-08,4.366,
2012-09,4.546,
2012-10,4.733,
2012-11,4.826,
2012-12,4.975,
2013-01,4.470,
2013-02,4.695,
2013-03,4.650,
2013-04,4.744,
2013-05,4.589,
2013-06,4.614,
2013-07,4.567,
2013-08,4.593,
2013-09,4.987,
2013-10,4.971,
2013-11,5.109,
2013-12,4.797,
2014-01,4.653,
2014-02,4.881,
2014-03,4.981,
2014-04,4.828,
2014-05,5.013,
2014-06,5.257,
2014-07,5.289,
2014-08,5.102,
2014-09,5.081,
2014-10,5.157,
2014-11,5.242,
2014-12,5.560,
