"",BBSF2.M.1.T.00000.ALT01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.ALT01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Pension investment funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:16,
2009-09,20,
2009-10,20,
2009-11,17,
2009-12,13,
2010-01,13,
2010-02,10,
2010-03,7,
2010-04,11,
2010-05,11,
2010-06,10,
2010-07,9,
2010-08,7,
2010-09,6,
2010-10,14,
2010-11,5,
2010-12,6,
2011-01,17,
2011-02,10,
2011-03,13,
2011-04,14,
2011-05,22,
2011-06,21,
2011-07,16,
2011-08,15,
2011-09,37,
2011-10,48,
2011-11,51,
2011-12,46,
2012-01,46,
2012-02,35,
2012-03,36,
2012-04,33,
2012-05,27,
2012-06,32,
2012-07,30,
2012-08,20,
2012-09,22,
2012-10,27,
2012-11,24,
2012-12,30,
2013-01,27,
2013-02,21,
2013-03,20,
2013-04,14,
2013-05,29,
2013-06,18,
2013-07,23,
2013-08,20,
2013-09,21,
2013-10,21,
2013-11,18,
2013-12,17,
2014-01,26,
2014-02,14,
2014-03,15,
2014-04,13,
2014-05,11,
2014-06,13,
2014-07,22,
2014-08,26,
2014-09,26,
2014-10,17,
2014-11,10,
