"",BBDE1.M.DE.Y.AEB5.A2R290050.F.V.I10.A,BBDE1.M.DE.Y.AEB5.A2R290050.F.V.I10.A_FLAGS
"","Orders received from abroad / At current prices, flows / Germany / 29+30 Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:56,
1991-01,32.4,
1991-02,32.2,
1991-03,31.8,
1991-04,28.2,
1991-05,29.7,
1991-06,31.6,
1991-07,32.0,
1991-08,38.0,
1991-09,31.9,
1991-10,30.1,
1991-11,31.6,
1991-12,35.6,
1992-01,29.5,
1992-02,33.4,
1992-03,31.8,
1992-04,30.7,
1992-05,29.8,
1992-06,29.1,
1992-07,29.9,
1992-08,28.8,
1992-09,29.2,
1992-10,24.9,
1992-11,28.0,
1992-12,30.6,
1993-01,28.2,
1993-02,26.0,
1993-03,26.4,
1993-04,26.3,
1993-05,30.3,
1993-06,27.7,
1993-07,27.2,
1993-08,26.7,
1993-09,29.4,
1993-10,29.8,
1993-11,28.8,
1993-12,33.7,
1994-01,28.3,
1994-02,29.6,
1994-03,36.5,
1994-04,33.3,
1994-05,29.5,
1994-06,33.3,
1994-07,32.3,
1994-08,32.4,
1994-09,33.6,
1994-10,30.6,
1994-11,36.5,
1994-12,35.9,
1995-01,31.9,
1995-02,33.3,
1995-03,35.0,
1995-04,31.4,
1995-05,31.4,
1995-06,32.0,
1995-07,32.5,
1995-08,31.5,
1995-09,31.7,
1995-10,32.0,
1995-11,34.7,
1995-12,36.6,
1996-01,32.7,
1996-02,34.8,
1996-03,37.1,
1996-04,37.6,
1996-05,37.5,
1996-06,35.2,
1996-07,38.3,
1996-08,38.7,
1996-09,35.8,
1996-10,38.9,
1996-11,38.2,
1996-12,38.5,
1997-01,40.5,
1997-02,40.6,
1997-03,42.7,
1997-04,45.3,
1997-05,41.2,
1997-06,42.0,
1997-07,41.0,
1997-08,45.4,
1997-09,43.8,
1997-10,44.5,
1997-11,39.7,
1997-12,48.4,
1998-01,44.8,
1998-02,46.8,
1998-03,51.2,
1998-04,53.0,
1998-05,50.2,
1998-06,46.8,
1998-07,48.7,
1998-08,46.8,
1998-09,49.8,
1998-10,52.6,
1998-11,47.2,
1998-12,53.8,
1999-01,45.6,
1999-02,51.3,
1999-03,51.8,
1999-04,53.1,
1999-05,49.1,
1999-06,54.4,
1999-07,53.0,
1999-08,62.4,
1999-09,58.8,
1999-10,55.7,
1999-11,58.3,
