"",BBK01.OEAD38N,BBK01.OEAD38N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:38,
2002-01,3.893,
2002-04,3.862,
2002-07,3.808,
2002-10,3.730,
2003-01,3.649,
2003-04,3.574,
2003-07,3.517,
2003-10,3.467,
2004-01,3.336,
2004-04,3.329,
2004-07,3.284,
2004-10,3.160,
2005-01,3.127,
2005-04,3.125,
2005-07,3.065,
2005-10,2.890,
2006-01,2.864,
2006-04,2.884,
2006-07,2.890,
2006-10,2.907,
2007-01,2.929,
2007-04,2.924,
2007-07,2.922,
2007-10,2.874,
2008-01,2.932,
2008-04,2.946,
2008-07,2.939,
2008-10,2.811,
2009-01,2.719,
2009-04,2.686,
2009-07,2.651,
2009-10,2.565,
2010-01,2.581,
2010-04,2.607,
2010-07,2.770,
2010-10,2.817,
2011-01,2.751,
2011-04,2.726,
2011-07,2.689,
2011-10,2.710,
2012-01,2.701,
2012-04,2.670,
2012-07,2.647,
2012-10,2.675,
2013-01,2.638,
2013-04,2.590,
2013-07,2.577,
2013-10,2.560,
2014-01,2.540,
2014-04,2.505,
2014-07,2.485,
