"",BBK01.QUJ403,BBK01.QUJ403_FLAGS
"","Foreign branches: Liabilities to non-residents, total / Slovenia / Euro",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:46:13,
1994-01,0.031,
1994-02,0.036,
1994-03,0.033,
1994-04,0.027,
1994-05,0.032,
1994-06,0.089,
1994-07,0.084,
1994-08,0.085,
1994-09,0.124,
1994-10,0.116,
1994-11,0.093,
1994-12,0.079,
1995-01,0.079,
1995-02,0.088,
1995-03,0.098,
1995-04,0.060,
1995-05,0.045,
1995-06,0.040,
1995-07,0.058,
1995-08,0.075,
1995-09,0.096,
1995-10,0.108,
1995-11,0.066,
1995-12,0.073,
1996-01,0.113,
1996-02,0.102,
1996-03,0.102,
1996-04,0.104,
1996-05,0.087,
1996-06,0.071,
1996-07,0.096,
1996-08,0.137,
1996-09,0.137,
1996-10,0.180,
1996-11,0.163,
1996-12,0.131,
1997-01,0.178,
1997-02,0.175,
1997-03,0.225,
1997-04,0.235,
1997-05,0.225,
1997-06,0.241,
1997-07,0.297,
1997-08,0.303,
1997-09,0.400,
1997-10,0.368,
1997-11,0.444,
1997-12,0.420,
1998-01,0.362,
1998-02,0.411,
1998-03,0.287,
1998-04,0.324,
1998-05,0.354,
1998-06,0.389,
1998-07,0.329,
1998-08,0.374,
1998-09,0.342,
1998-10,0.169,
1998-11,0.231,
1998-12,0.258,
1999-01,0.449,
1999-02,0.293,
1999-03,0.578,
1999-04,0.366,
1999-05,0.354,
1999-06,0.289,
1999-07,0.301,
1999-08,0.338,
1999-09,0.260,
1999-10,0.245,
1999-11,0.202,
1999-12,0.227,
2000-01,0.190,
2000-02,0.172,
2000-03,0.223,
2000-04,0.383,
2000-05,0.329,
2000-06,0.273,
2000-07,0.205,
2000-08,0.247,
2000-09,0.143,
2000-10,0.225,
2000-11,0.378,
2000-12,0.392,
2001-01,0.309,
2001-02,0.244,
2001-03,0.196,
2001-04,0.452,
2001-05,0.352,
2001-06,0.363,
2001-07,0.319,
2001-08,0.330,
2001-09,0.275,
2001-10,0.185,
2001-11,0.239,
2001-12,0.396,
2002-01,0.402,
2002-02,0.363,
2002-03,0.379,
2002-04,0.311,
2002-05,0.239,
2002-06,0.300,
2002-07,0.190,
2002-08,0.159,
2002-09,0.154,
2002-10,0.240,
2002-11,0.162,
2002-12,0.157,
2003-01,0.115,
2003-02,0.148,
2003-03,0.242,
2003-04,0.082,
2003-05,0.052,
2003-06,0.086,
2003-07,0.167,
2003-08,0.127,
2003-09,0.290,
2003-10,0.049,
2003-11,0.042,
2003-12,0.282,
2004-01,0.151,
2004-02,0.130,
2004-03,0.162,
2004-04,0.094,
2004-05,0.051,
2004-06,0.149,
2004-07,0.029,
2004-08,0.200,
2004-09,0.098,
2004-10,0.791,
2004-11,0.042,
2004-12,0.003,
2005-01,0.014,
2005-02,0.024,
2005-03,0.049,
2005-04,0.113,
2005-05,0.107,
2005-06,0.053,
2005-07,0.016,
2005-08,0.035,
2005-09,0.041,
2005-10,0.032,
2005-11,0.111,
2005-12,0.120,
2006-01,0.037,
2006-02,0.021,
2006-03,0.025,
2006-04,0.022,
2006-05,0.004,
2006-06,0.020,
2006-07,0.003,
2006-08,0.671,
2006-09,0.003,
2006-10,0.003,
2006-11,0.003,
2006-12,0.003,
2007-01,0.003,
2007-02,0.028,
2007-03,0.004,
2007-04,0.043,
2007-05,0.013,
2007-06,0.018,
2007-07,0.083,
2007-08,0.019,
2007-09,0.023,
2007-10,0.008,
2007-11,0.057,
2007-12,0.003,
2008-01,0.003,
2008-02,0.003,
2008-03,0.049,
2008-04,0.040,
2008-05,0.027,
2008-06,0.044,
2008-07,0.013,
2008-08,0.036,
2008-09,0.023,
2008-10,0.043,
2008-11,0.033,
2008-12,0.018,
2009-01,0.018,
2009-02,0.023,
2009-03,0.015,
2009-04,0.060,
2009-05,0.050,
2009-06,0.035,
2009-07,0.030,
2009-08,0.031,
2009-09,0.040,
2009-10,0.039,
2009-11,0.029,
2009-12,0.027,
2010-01,0.027,
2010-02,0.027,
2010-03,0.027,
2010-04,0.032,
2010-05,0.037,
2010-06,0.037,
2010-07,0.037,
2010-08,0.027,
2010-09,0.027,
2010-10,0.027,
2010-11,0.045,
2010-12,0.028,
2011-01,0.028,
2011-02,0.051,
2011-03,0.037,
2011-04,0.043,
2011-05,0.046,
2011-06,0.042,
2011-07,0.051,
2011-08,0.048,
2011-09,0.042,
2011-10,0.016,
2011-11,0.016,
2011-12,0.016,
2012-01,0.026,
2012-02,0.026,
2012-03,0.028,
2012-04,0.029,
2012-05,0.034,
2012-06,0.019,
2012-07,0.017,
2012-08,0.015,
2012-09,0.003,
2012-10,0.013,
2012-11,0.018,
2012-12,.,No value available
2013-01,.,No value available
2013-02,0.040,
2013-03,0.030,
2013-04,0.041,
2013-05,0.061,
2013-06,0.135,
2013-07,0.172,
2013-08,0.199,
2013-09,0.187,
2013-10,0.214,
2013-11,0.217,
2013-12,0.243,
2014-01,0.240,
2014-02,0.252,
2014-03,0.284,
2014-04,0.283,
2014-05,0.254,
2014-06,0.285,
2014-07,0.262,
2014-08,0.244,
2014-09,0.201,
2014-10,0.142,
2014-11,0.123,
