"",BBK01.OEAH04L,BBK01.OEAH04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:05,
2002-01,93.818,
2002-04,85.533,
2002-07,98.640,
2002-10,84.055,
2003-01,101.470,
2003-04,96.487,
2003-07,111.931,
2003-10,99.725,
2004-01,98.212,
2004-04,86.901,
2004-07,97.947,
2004-10,120.567,
2005-01,107.305,
2005-04,111.876,
2005-07,122.918,
2005-10,113.703,
2006-01,115.314,
2006-04,112.130,
2006-07,134.747,
2006-10,122.629,
2007-01,126.060,
2007-04,137.706,
2007-07,132.470,
2007-10,153.171,
2008-01,164.519,
2008-04,152.898,
2008-07,157.998,
2008-10,140.634,
2009-01,116.885,
2009-04,113.648,
2009-07,104.314,
2009-10,95.831,
2010-01,92.598,
2010-04,97.053,
2010-07,98.796,
2010-10,99.077,
2011-01,90.525,
2011-04,114.828,
2011-07,111.498,
2011-10,107.488,
2012-01,100.588,
2012-04,101.956,
2012-07,98.420,
2012-10,104.128,
2013-01,107.115,
2013-04,125.729,
2013-07,84.711,
2013-10,101.156,
2014-01,91.761,
2014-04,86.715,
2014-07,98.562,
