"",BBK01.OEAC35N,BBK01.OEAC35N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:24,
2002-01,3.347,
2002-04,3.272,
2002-07,3.204,
2002-10,3.309,
2003-01,3.159,
2003-04,3.091,
2003-07,3.134,
2003-10,2.851,
2004-01,2.757,
2004-04,2.775,
2004-07,2.785,
2004-10,2.482,
2005-01,2.465,
2005-04,2.476,
2005-07,2.573,
2005-10,2.511,
2006-01,2.458,
2006-04,2.488,
2006-07,2.464,
2006-10,2.556,
2007-01,2.692,
2007-04,3.774,
2007-07,3.894,
2007-10,4.084,
2008-01,4.024,
2008-04,3.977,
2008-07,4.133,
2008-10,4.191,
2009-01,3.926,
2009-04,3.869,
2009-07,3.908,
2009-10,4.008,
2010-01,3.884,
2010-04,3.831,
2010-07,3.941,
2010-10,4.039,
2011-01,4.101,
2011-04,4.081,
2011-07,4.130,
2011-10,4.099,
2012-01,4.146,
2012-04,4.146,
2012-07,4.014,
2012-10,4.134,
2013-01,4.040,
2013-04,3.983,
2013-07,3.882,
2013-10,3.951,
2014-01,3.843,
2014-04,3.835,
2014-07,3.868,
