"",BBK01.OEAE36K,BBK01.OEAE36K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:03,
2002-01,2.713,
2002-04,2.574,
2002-07,2.521,
2002-10,2.550,
2003-01,2.279,
2003-04,1.898,
2003-07,1.953,
2003-10,1.932,
2004-01,2.012,
2004-04,2.395,
2004-07,2.026,
2004-10,2.052,
2005-01,2.017,
2005-04,2.090,
2005-07,2.027,
2005-10,2.014,
2006-01,2.012,
2006-04,2.162,
2006-07,2.160,
2006-10,2.016,
2007-01,1.785,
2007-04,1.798,
2007-07,1.778,
2007-10,1.821,
2008-01,2.006,
2008-04,1.994,
2008-07,2.043,
2008-10,1.862,
2009-01,1.695,
2009-04,1.692,
2009-07,1.648,
2009-10,1.480,
2010-01,1.411,
2010-04,1.395,
2010-07,1.414,
2010-10,1.542,
2011-01,1.653,
2011-04,1.671,
2011-07,1.762,
2011-10,1.748,
2012-01,1.604,
2012-04,1.681,
2012-07,1.688,
2012-10,1.635,
2013-01,1.671,
2013-04,1.609,
2013-07,1.611,
2013-10,1.581,
2014-01,1.492,
2014-04,1.446,
2014-07,1.527,
