"",BBFN1.M.DE.N.1.L.W03100.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W03100.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:03,
1995-01,23.924,
1995-02,23.777,
1995-03,24.221,
1995-04,24.396,
1995-05,24.430,
1995-06,24.816,
1995-07,25.083,
1995-08,25.594,
1995-09,25.487,
1995-10,25.465,
1995-11,25.707,
1995-12,26.082,
1996-01,26.197,
1996-02,26.182,
1996-03,26.422,
1996-04,27.007,
1996-05,27.137,
1996-06,26.738,
1996-07,26.941,
1996-08,26.864,
1996-09,26.542,
1996-10,26.754,
1996-11,26.847,
1996-12,27.694,
1997-01,28.017,
1997-02,28.335,
1997-03,28.509,
1997-04,28.880,
1997-05,29.282,
1997-06,29.509,
1997-07,30.036,
1997-08,30.219,
1997-09,30.475,
1997-10,30.703,
1997-11,30.750,
1997-12,30.505,
1998-01,30.727,
1998-02,32.195,
1998-03,32.159,
1998-04,32.538,
1998-05,32.087,
1998-06,32.667,
1998-07,32.999,
1998-08,32.661,
1998-09,32.306,
1998-10,32.404,
1998-11,32.277,
1998-12,31.684,
1999-01,31.835,
1999-02,31.902,
1999-03,32.317,
1999-04,31.198,
1999-05,31.735,
1999-06,32.056,
1999-07,31.834,
1999-08,32.036,
1999-09,31.486,
1999-10,39.210,
1999-11,34.709,
1999-12,31.016,
2000-01,31.775,
2000-02,31.920,
2000-03,32.322,
2000-04,32.087,
2000-05,33.679,
2000-06,34.363,
2000-07,35.452,
2000-08,36.185,
2000-09,37.109,
2000-10,38.013,
2000-11,39.307,
2000-12,38.547,
2001-01,36.894,
2001-02,38.415,
2001-03,39.042,
2001-04,38.881,
2001-05,39.380,
2001-06,42.349,
2001-07,40.797,
2001-08,41.557,
2001-09,42.415,
2001-10,42.821,
2001-11,39.316,
2001-12,39.060,
2002-01,37.288,
2002-02,37.594,
2002-03,37.808,
2002-04,37.174,
2002-05,38.018,
2002-06,39.264,
2002-07,39.794,
2002-08,39.591,
2002-09,40.618,
2002-10,40.241,
2002-11,40.513,
2002-12,40.268,
2003-01,44.133,
2003-02,42.904,
2003-03,44.414,
2003-04,44.137,
2003-05,44.700,
2003-06,45.121,
2003-07,46.054,
2003-08,45.927,
2003-09,45.916,
2003-10,45.385,
2003-11,45.782,
2003-12,43.750,
2004-01,42.991,
2004-02,45.108,
2004-03,46.645,
2004-04,46.516,
2004-05,38.731,
2004-06,38.290,
2004-07,38.499,
2004-08,38.749,
2004-09,38.058,
2004-10,37.624,
2004-11,37.992,
2004-12,37.842,
2005-01,36.510,
2005-02,36.443,
2005-03,37.109,
2005-04,37.432,
2005-05,37.100,
2005-06,37.385,
2005-07,37.747,
2005-08,37.788,
2005-09,38.255,
2005-10,38.839,
2005-11,39.904,
2005-12,40.001,
2006-01,40.180,
2006-02,40.914,
2006-03,41.174,
2006-04,41.287,
2006-05,42.232,
2006-06,44.833,
2006-07,45.215,
2006-08,45.872,
2006-09,48.193,
2006-10,48.753,
2006-11,50.029,
2006-12,54.115,
2007-01,52.128,
2007-02,53.098,
2007-03,55.719,
2007-04,57.259,
2007-05,55.622,
2007-06,57.541,
2007-07,57.712,
2007-08,60.102,
2007-09,60.388,
2007-10,60.416,
2007-11,61.552,
2007-12,60.721,
2008-01,59.807,
2008-02,60.592,
2008-03,61.925,
2008-04,62.510,
2008-05,63.102,
2008-06,64.727,
2008-07,65.437,
2008-08,67.063,
2008-09,66.885,
2008-10,68.199,
2008-11,67.938,
2008-12,64.052,
2009-01,64.110,
2009-02,64.238,
2009-03,64.902,
2009-04,64.339,
2009-05,64.309,
2009-06,64.198,
2009-07,64.999,
2009-08,65.684,
2009-09,65.685,
2009-10,65.522,
2009-11,65.745,
2009-12,69.371,
2010-01,69.495,
2010-02,70.001,
2010-03,71.376,
2010-04,71.679,
2010-05,76.883,
2010-06,78.698,
2010-07,78.769,
2010-08,79.408,
2010-09,79.618,
2010-10,80.603,
2010-11,80.955,
2010-12,81.541,
2011-01,82.000,
2011-02,81.204,
2011-03,82.350,
2011-04,82.774,
2011-05,81.843,
2011-06,81.902,
2011-07,82.946,
2011-08,82.892,
2011-09,84.022,
2011-10,82.775,
2011-11,84.424,
2011-12,85.870,
2012-01,83.747,
2012-02,84.710,
2012-03,83.964,
2012-04,84.627,
2012-05,84.942,
2012-06,85.290,
2012-07,84.645,
2012-08,85.519,
2012-09,87.940,
2012-10,86.906,
2012-11,87.948,
2012-12,86.688,
2013-01,87.176,
2013-02,87.834,
2013-03,88.859,
2013-04,86.711,
2013-05,85.895,
2013-06,86.354,
2013-07,82.604,
2013-08,83.706,
2013-09,85.861,
2013-10,85.615,
2013-11,85.625,
2013-12,86.694,
2014-01,84.994,
2014-02,85.579,
2014-03,85.842,
2014-04,84.417,
2014-05,85.139,
2014-06,86.531,
2014-07,84.970,
2014-08,86.722,
2014-09,86.771,
2014-10,86.075,
2014-11,86.629,
2014-12,86.984,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
