"",BBK01.OEHB17L,BBK01.OEHB17L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:50,
2002-01,23.760,
2002-04,23.971,
2002-07,24.326,
2002-10,24.603,
2003-01,24.560,
2003-04,24.900,
2003-07,25.241,
2003-10,25.457,
2004-01,25.424,
2004-04,25.777,
2004-07,25.210,
2004-10,24.847,
2005-01,24.392,
2005-04,24.385,
2005-07,24.448,
2005-10,24.393,
2006-01,24.178,
2006-04,24.274,
2006-07,24.264,
2006-10,24.225,
2007-01,23.992,
2007-04,24.001,
2007-07,24.075,
2007-10,23.984,
2008-01,23.823,
2008-04,23.807,
2008-07,23.857,
2008-10,23.803,
2009-01,23.726,
2009-04,23.643,
2009-07,23.688,
2009-10,23.708,
2010-01,23.542,
2010-04,23.534,
2010-07,23.568,
2010-10,23.631,
2011-01,23.557,
2011-04,23.635,
2011-07,23.689,
2011-10,23.717,
2012-01,23.686,
2012-04,23.858,
2012-07,24.031,
2012-10,24.178,
2013-01,24.195,
2013-04,24.310,
2013-07,24.548,
2013-10,24.592,
2014-01,24.552,
2014-04,24.672,
2014-07,24.898,
