"",BBK01.OEHJ03K,BBK01.OEHJ03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:26,
2002-01,3.225,
2002-04,3.260,
2002-07,3.333,
2002-10,3.212,
2003-01,3.634,
2003-04,4.193,
2003-07,4.172,
2003-10,4.273,
2004-01,4.755,
2004-04,4.902,
2004-07,4.748,
2004-10,5.555,
2005-01,6.352,
2005-04,6.307,
2005-07,6.661,
2005-10,6.520,
2006-01,6.680,
2006-04,6.648,
2006-07,6.746,
2006-10,6.789,
2007-01,6.861,
2007-04,6.276,
2007-07,6.456,
2007-10,6.430,
2008-01,6.665,
2008-04,6.853,
2008-07,7.054,
2008-10,7.148,
2009-01,7.066,
2009-04,6.799,
2009-07,6.764,
2009-10,6.828,
2010-01,7.040,
2010-04,7.103,
2010-07,6.872,
2010-10,6.861,
2011-01,6.900,
2011-04,7.260,
2011-07,7.296,
2011-10,6.941,
2012-01,6.233,
2012-04,6.454,
2012-07,6.356,
2012-10,6.054,
2013-01,6.373,
2013-04,6.298,
2013-07,6.093,
2013-10,6.113,
2014-01,6.113,
2014-04,6.040,
2014-07,4.471,
