"",BBK01.OEAH67S,BBK01.OEAH67S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:29,
2002-01,10.709,
2002-04,10.492,
2002-07,10.510,
2002-10,10.854,
2003-01,10.918,
2003-04,10.796,
2003-07,10.775,
2003-10,10.973,
2004-01,10.923,
2004-04,10.768,
2004-07,10.708,
2004-10,10.880,
2005-01,11.821,
2005-04,11.725,
2005-07,11.743,
2005-10,11.940,
2006-01,12.046,
2006-04,11.962,
2006-07,11.857,
2006-10,12.015,
2007-01,12.160,
2007-04,12.115,
2007-07,12.134,
2007-10,12.400,
2008-01,12.337,
2008-04,12.304,
2008-07,12.150,
2008-10,12.508,
2009-01,12.520,
2009-04,12.542,
2009-07,12.675,
2009-10,12.968,
2010-01,13.130,
2010-04,13.197,
2010-07,13.266,
2010-10,13.633,
2011-01,13.744,
2011-04,13.667,
2011-07,13.688,
2011-10,13.887,
2012-01,13.977,
2012-04,13.950,
2012-07,13.947,
2012-10,14.118,
2013-01,14.144,
2013-04,14.107,
2013-07,14.135,
2013-10,14.320,
2014-01,14.386,
2014-04,14.366,
2014-07,14.477,
