"",BBK01.CEL750,BBK01.CEL750_FLAGS
"",Other accounts payable                                  debtor:OFI                         creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:48,
1999-01,-8.4,
1999-04,9.6,
1999-07,-8.3,
1999-10,-0.3,
2000-01,3.6,
2000-04,-0.8,
2000-07,-9.4,
2000-10,-45.9,
2001-01,19.0,
2001-04,-0.9,
2001-07,-25.8,
2001-10,0.9,
2002-01,8.9,
2002-04,-18.5,
2002-07,-3.7,
2002-10,-26.9,
2003-01,17.9,
2003-04,12.0,
2003-07,-4.6,
2003-10,16.1,
2004-01,22.6,
2004-04,13.2,
2004-07,3.5,
2004-10,-0.1,
2005-01,33.9,
2005-04,-4.6,
2005-07,2.8,
2005-10,-22.7,
2006-01,22.5,
2006-04,-21.5,
2006-07,37.1,
2006-10,-18.0,
2007-01,21.0,
2007-04,12.6,
2007-07,-40.1,
2007-10,33.7,
2008-01,8.0,
2008-04,-8.4,
2008-07,-16.8,
2008-10,-53.3,
2009-01,70.0,
2009-04,-11.8,
2009-07,18.1,
2009-10,28.9,
2010-01,45.5,
2010-04,30.2,
2010-07,6.7,
2010-10,-44.9,
2011-01,17.6,
2011-04,-6.7,
2011-07,-22.6,
2011-10,-21.2,
2012-01,-18.8,
2012-04,10.4,
2012-07,65.1,
2012-10,29.5,
2013-01,11.4,
2013-04,25.9,
2013-07,-19.5,
2013-10,11.4,
2014-01,23.7,
2014-04,2.4,
2014-07,1.3,
