"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.AT.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.AT.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Austria,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:19,
2009-09,634,
2009-10,594,
2009-11,584,
2009-12,614,
2010-01,611,
2010-02,595,
2010-03,620,
2010-04,624,
2010-05,570,
2010-06,547,
2010-07,577,
2010-08,578,
2010-09,623,
2010-10,671,
2010-11,698,
2010-12,791,
2011-01,795,
2011-02,797,
2011-03,798,
2011-04,785,
2011-05,793,
2011-06,850,
2011-07,857,
2011-08,758,
2011-09,637,
2011-10,661,
2011-11,595,
2011-12,602,
2012-01,686,
2012-02,711,
2012-03,705,
2012-04,684,
2012-05,628,
2012-06,630,
2012-07,661,
2012-08,670,
2012-09,691,
2012-10,705,
2012-11,717,
2012-12,740,
2013-01,773,
2013-02,788,
2013-03,756,
2013-04,772,
2013-05,781,
2013-06,731,
2013-07,771,
2013-08,830,
2013-09,883,
2013-10,912,
2013-11,923,
2013-12,893,
2014-01,876,
2014-02,899,
2014-03,911,
2014-04,938,
2014-05,940,
2014-06,986,
2014-07,872,
2014-08,834,
2014-09,814,
2014-10,760,
2014-11,774,
