"",BBK01.OEAD14O,BBK01.OEAD14O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:44,
2002-01,0.160,
2002-04,0.163,
2002-07,0.162,
2002-10,0.183,
2003-01,0.195,
2003-04,0.145,
2003-07,0.101,
2003-10,0.132,
2004-01,0.123,
2004-04,0.114,
2004-07,0.108,
2004-10,0.095,
2005-01,0.101,
2005-04,0.109,
2005-07,0.085,
2005-10,0.093,
2006-01,0.126,
2006-04,0.144,
2006-07,0.129,
2006-10,0.090,
2007-01,0.098,
2007-04,0.143,
2007-07,0.126,
2007-10,0.243,
2008-01,0.137,
2008-04,0.139,
2008-07,0.082,
2008-10,0.109,
2009-01,0.127,
2009-04,0.127,
2009-07,0.071,
2009-10,0.063,
2010-01,0.058,
2010-04,0.082,
2010-07,0.071,
2010-10,0.080,
2011-01,0.074,
2011-04,0.067,
2011-07,0.069,
2011-10,0.058,
2012-01,0.067,
2012-04,0.085,
2012-07,0.062,
2012-10,0.060,
2013-01,0.075,
2013-04,0.073,
2013-07,0.073,
2013-10,0.062,
2014-01,0.093,
2014-04,0.096,
2014-07,0.054,
