"",BBK01.OEAH05T,BBK01.OEAH05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:41,
2002-01,0.317,
2002-04,0.367,
2002-07,0.373,
2002-10,0.414,
2003-01,0.406,
2003-04,0.398,
2003-07,0.398,
2003-10,0.251,
2004-01,0.408,
2004-04,0.429,
2004-07,0.263,
2004-10,0.222,
2005-01,0.312,
2005-04,0.301,
2005-07,0.344,
2005-10,0.351,
2006-01,0.371,
2006-04,0.412,
2006-07,0.405,
2006-10,0.458,
2007-01,0.510,
2007-04,0.485,
2007-07,0.507,
2007-10,0.592,
2008-01,0.608,
2008-04,0.624,
2008-07,0.656,
2008-10,0.622,
2009-01,0.678,
2009-04,0.544,
2009-07,0.555,
2009-10,0.538,
2010-01,0.530,
2010-04,0.536,
2010-07,0.531,
2010-10,0.508,
2011-01,0.520,
2011-04,0.527,
2011-07,0.513,
2011-10,0.581,
2012-01,0.627,
2012-04,0.622,
2012-07,0.594,
2012-10,0.591,
2013-01,0.472,
2013-04,0.495,
2013-07,0.526,
2013-10,0.514,
2014-01,0.575,
2014-04,0.615,
2014-07,0.607,
