"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.ES.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.ES.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Spain / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:46,
2009-09,18552,
2009-10,18308,
2009-11,18325,
2009-12,17702,
2010-01,18089,
2010-02,17808,
2010-03,17718,
2010-04,16603,
2010-05,15660,
2010-06,15009,
2010-07,15108,
2010-08,15545,
2010-09,15518,
2010-10,15461,
2010-11,14691,
2010-12,14150,
2011-01,13986,
2011-02,14770,
2011-03,15756,
2011-04,15506,
2011-05,15102,
2011-06,15018,
2011-07,14646,
2011-08,14701,
2011-09,14364,
2011-10,14422,
2011-11,13944,
2011-12,14203,
2012-01,14477,
2012-02,14664,
2012-03,14471,
2012-04,13693,
2012-05,12504,
2012-06,11956,
2012-07,11828,
2012-08,11677,
2012-09,11303,
2012-10,11418,
2012-11,11108,
2012-12,11616,
2013-01,13209,
2013-02,13241,
2013-03,13337,
2013-04,13734,
2013-05,13928,
2013-06,13651,
2013-07,13286,
2013-08,13344,
2013-09,13304,
2013-10,13367,
2013-11,13464,
2013-12,13413,
2014-01,13608,
2014-02,13035,
2014-03,13087,
2014-04,13214,
2014-05,13266,
2014-06,12813,
2014-07,12844,
2014-08,12900,
2014-09,12935,
2014-10,12398,
2014-11,12494,
