"",BBK01.CEFE51,BBK01.CEFE51_FLAGS
"",short-term loans  debtor: OFI                                                          creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:50,
1999-01,5.8,
1999-04,6.2,
1999-07,6.6,
1999-10,7.0,
2000-01,7.7,
2000-04,8.3,
2000-07,9.0,
2000-10,9.7,
2001-01,11.7,
2001-04,13.2,
2001-07,15.2,
2001-10,16.9,
2002-01,17.3,
2002-04,17.7,
2002-07,18.0,
2002-10,18.6,
2003-01,17.0,
2003-04,16.9,
2003-07,15.0,
2003-10,13.8,
2004-01,13.9,
2004-04,13.9,
2004-07,14.3,
2004-10,13.9,
2005-01,15.0,
2005-04,15.5,
2005-07,15.8,
2005-10,16.1,
2006-01,17.7,
2006-04,18.8,
2006-07,18.7,
2006-10,19.7,
2007-01,23.3,
2007-04,26.4,
2007-07,29.6,
2007-10,35.1,
2008-01,33.5,
2008-04,35.6,
2008-07,41.1,
2008-10,41.6,
2009-01,38.1,
2009-04,35.8,
2009-07,33.6,
2009-10,30.7,
2010-01,30.6,
2010-04,33.9,
2010-07,33.7,
2010-10,35.3,
2011-01,33.9,
2011-04,33.9,
2011-07,45.2,
2011-10,42.4,
2012-01,43.4,
2012-04,48.3,
2012-07,50.6,
2012-10,53.7,
2013-01,51.8,
2013-04,52.6,
2013-07,53.3,
2013-10,52.3,
2014-01,56.6,
2014-04,60.4,
2014-07,62.2,
