"",BBK01.OECM01G,BBK01.OECM01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:21,
2002-01,0.694,
2002-04,1.195,
2002-07,1.039,
2002-10,0.976,
2003-01,1.135,
2003-04,1.279,
2003-07,0.881,
2003-10,0.555,
2004-01,0.728,
2004-04,1.277,
2004-07,1.036,
2004-10,0.659,
2005-01,1.007,
2005-04,1.244,
2005-07,1.058,
2005-10,0.835,
2006-01,0.814,
2006-04,0.927,
2006-07,0.740,
2006-10,0.967,
2007-01,1.215,
2007-04,1.585,
2007-07,1.334,
2007-10,0.932,
2008-01,0.775,
2008-04,1.341,
2008-07,1.321,
2008-10,1.284,
2009-01,1.746,
2009-04,1.893,
2009-07,2.107,
2009-10,1.746,
2010-01,1.170,
2010-04,1.855,
2010-07,1.541,
2010-10,1.186,
2011-01,1.009,
2011-04,1.515,
2011-07,1.298,
2011-10,1.562,
2012-01,1.707,
2012-04,2.492,
2012-07,2.239,
2012-10,2.313,
2013-01,2.106,
2013-04,2.499,
2013-07,1.932,
2013-10,1.966,
2014-01,1.674,
2014-04,2.041,
2014-07,1.786,
