"",BBFN1.M.DE.N.1.L.U3.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U3.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Other EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:45,
1995-01,.,No value available
1995-02,.,No value available
1995-03,.,No value available
1995-04,.,No value available
1995-05,1.967,
1995-06,1.921,
1995-07,1.964,
1995-08,.,No value available
1995-09,.,No value available
1995-10,.,No value available
1995-11,.,No value available
1995-12,2.118,
1996-01,2.137,
1996-02,2.077,
1996-03,2.061,
1996-04,2.061,
1996-05,2.214,
1996-06,2.204,
1996-07,2.170,
1996-08,2.194,
1996-09,2.185,
1996-10,2.055,
1996-11,1.938,
1996-12,1.965,
1997-01,1.965,
1997-02,1.981,
1997-03,2.008,
1997-04,2.040,
1997-05,2.044,
1997-06,2.068,
1997-07,2.258,
1997-08,2.339,
1997-09,2.255,
1997-10,2.292,
1997-11,2.504,
1997-12,2.427,
1998-01,2.396,
1998-02,2.429,
1998-03,2.527,
1998-04,2.642,
1998-05,.,No value available
1998-06,.,No value available
1998-07,.,No value available
1998-08,2.695,
1998-09,.,No value available
1998-10,.,No value available
1998-11,2.482,
1998-12,2.328,
1999-01,2.498,
1999-02,2.438,
1999-03,2.487,
1999-04,2.571,
1999-05,2.600,
1999-06,2.496,
1999-07,2.556,
1999-08,2.572,
1999-09,2.596,
1999-10,2.663,
1999-11,2.905,
1999-12,3.000,
2000-01,2.991,
2000-02,3.125,
2000-03,3.201,
2000-04,3.012,
2000-05,3.136,
2000-06,3.736,
2000-07,4.133,
2000-08,4.132,
2000-09,4.142,
2000-10,4.201,
2000-11,4.132,
2000-12,5.165,
2001-01,5.076,
2001-02,5.248,
2001-03,5.176,
2001-04,6.210,
2001-05,6.225,
2001-06,5.868,
2001-07,6.127,
2001-08,7.409,
2001-09,7.757,
2001-10,8.243,
2001-11,9.137,
2001-12,8.771,
2002-01,9.283,
2002-02,10.143,
2002-03,9.612,
2002-04,9.710,
2002-05,9.622,
2002-06,9.466,
2002-07,10.147,
2002-08,10.349,
2002-09,10.389,
2002-10,10.642,
2002-11,10.719,
2002-12,10.796,
2003-01,11.246,
2003-02,10.806,
2003-03,10.529,
2003-04,10.958,
2003-05,10.773,
2003-06,11.634,
2003-07,11.519,
2003-08,13.015,
2003-09,13.146,
2003-10,13.461,
2003-11,13.466,
2003-12,13.153,
2004-01,12.909,
2004-02,11.918,
2004-03,12.440,
2004-04,12.515,
2004-05,13.099,
2004-06,12.682,
2004-07,12.339,
2004-08,12.404,
2004-09,12.561,
2004-10,12.482,
2004-11,13.031,
2004-12,13.067,
2005-01,12.550,
2005-02,14.069,
2005-03,14.270,
2005-04,14.578,
2005-05,15.405,
2005-06,16.621,
2005-07,17.891,
2005-08,18.010,
2005-09,21.113,
2005-10,21.625,
2005-11,22.004,
2005-12,22.549,
2006-01,23.392,
2006-02,24.366,
2006-03,23.560,
2006-04,22.363,
2006-05,23.374,
2006-06,28.269,
2006-07,29.388,
2006-08,30.258,
2006-09,30.917,
2006-10,31.115,
2006-11,32.474,
2006-12,35.366,
2007-01,35.446,
2007-02,34.428,
2007-03,34.710,
2007-04,35.285,
2007-05,36.154,
2007-06,35.781,
2007-07,35.731,
2007-08,37.128,
2007-09,37.666,
2007-10,37.962,
2007-11,37.542,
2007-12,36.202,
2008-01,36.653,
2008-02,37.778,
2008-03,38.422,
2008-04,39.017,
2008-05,39.442,
2008-06,39.763,
2008-07,39.769,
2008-08,40.314,
2008-09,39.906,
2008-10,39.981,
2008-11,39.908,
2008-12,39.553,
2009-01,40.065,
2009-02,40.483,
2009-03,39.428,
2009-04,40.109,
2009-05,39.905,
2009-06,39.332,
2009-07,39.184,
2009-08,40.215,
2009-09,38.895,
2009-10,38.856,
2009-11,38.746,
2009-12,37.427,
2010-01,37.125,
2010-02,37.375,
2010-03,39.704,
2010-04,39.736,
2010-05,40.064,
2010-06,39.851,
2010-07,39.098,
2010-08,38.824,
2010-09,38.811,
2010-10,38.551,
2010-11,38.337,
2010-12,39.801,
2011-01,39.511,
2011-02,38.698,
2011-03,37.603,
2011-04,35.266,
2011-05,35.194,
2011-06,33.433,
2011-07,33.738,
2011-08,33.380,
2011-09,30.978,
2011-10,30.923,
2011-11,30.567,
2011-12,30.058,
2012-01,29.358,
2012-02,29.936,
2012-03,29.925,
2012-04,30.906,
2012-05,26.663,
2012-06,26.557,
2012-07,26.325,
2012-08,25.868,
2012-09,25.141,
2012-10,24.608,
2012-11,24.485,
2012-12,23.318,
2013-01,22.940,
2013-02,21.559,
2013-03,20.948,
2013-04,21.383,
2013-05,22.069,
2013-06,20.480,
2013-07,18.710,
2013-08,18.316,
2013-09,19.542,
2013-10,16.563,
2013-11,16.120,
2013-12,17.176,
2014-01,16.401,
2014-02,16.936,
2014-03,15.943,
2014-04,16.025,
2014-05,16.838,
2014-06,16.901,
2014-07,16.857,
2014-08,16.740,
2014-09,16.253,
2014-10,17.154,
2014-11,16.818,
2014-12,16.669,
"","General: Up to December 2000, including Greece; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Slovenia; from January 2007 including Bulgaria and Romania; up to December 2007, including Cyprus and Malta; up to December 2008, including Slovakia; up to December 2010, including Estonia.",
