"",BBEX3.M.OMR.EUR.CA.AA.A01,BBEX3.M.OMR.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Oman / EUR 1 = OMR ... (buying),
unit,OMR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:56,
1999-01,0.4364200,
1999-02,0.4297000,
1999-03,0.4116100,
1999-04,0.4076500,
1999-05,0.4015900,
1999-06,0.3966700,
1999-07,0.4106100,
1999-08,0.4029700,
1999-09,0.4086100,
1999-10,0.4049300,
1999-11,0.3878400,
1999-12,0.3860700,
2000-01,0.3764700,
2000-02,0.3730200,
2000-03,0.3659500,
2000-04,0.3501300,
2000-05,0.3577000,
2000-06,0.3626100,
2000-07,0.3546200,
2000-08,0.3433700,
2000-09,0.3391500,
2000-10,0.3228700,
2000-11,0.3271700,
2000-12,0.3615700,
2001-01,0.3556200,
2001-02,0.3519000,
2001-03,0.3360400,
2001-04,0.3420700,
2001-05,0.3277100,
2001-06,0.3263200,
2001-07,0.3361200,
2001-08,0.3487500,
2001-09,0.3499800,
2001-10,0.3482900,
2001-11,0.3404900,
2001-12,0.3401100,
2002-01,0.3311600,
2002-02,0.3318900,
2002-03,0.3346900,
2002-04,0.3469400,
2002-05,0.3593500,
2002-06,0.3803900,
2002-07,0.3777400,
2002-08,0.3767000,
2002-09,0.3775100,
2002-10,0.3792800,
2002-11,0.3815400,
2002-12,0.4023200,
2003-01,0.4157600,
2003-02,0.4141800,
2003-03,0.4157600,
2003-04,0.4265900,
2003-05,0.4524700,
2003-06,0.4389100,
2003-07,0.4348800,
2003-08,0.4218600,comment
2003-09,0.4460900,
2003-10,0.4484000,
2003-11,0.4571500,
2003-12,0.4826900,
2004-01,0.4784300,
2004-02,0.4795000,
2004-03,0.4697100,
2004-04,0.4539300,
2004-05,0.4685200,
2004-06,0.4641000,
2004-07,0.4611500,
2004-08,0.4639900,
2004-09,0.4736600,
2004-10,0.4885200,
2004-11,0.5093400,
2004-12,0.5231200,
2005-01,0.5007700,
2005-02,0.5095700,
2005-03,0.4970500,
2005-04,0.4941700,
2005-05,0.4763900,
2005-06,0.4643328,
2005-07,0.4676736,
2005-08,0.4692864,
2005-09,0.4631424,
2005-10,0.4628352,
2005-11,0.4538880,
2005-12,0.4545408,
2006-01,0.4642176,
2006-02,0.4555392,
2006-03,0.4608384,
2006-04,0.4851072,
2006-05,0.4915968,
2006-06,0.4817280,
2006-07,0.4899456,
2006-08,0.4929408,
2006-09,0.4868352,
2006-10,0.4882176,
2006-11,0.5041536,
2006-12,0.5067648,
2007-01,0.4976640,
2007-02,0.5061888,
2007-03,0.5126784,
2007-04,0.5236224,
2007-05,0.5158656,
2007-06,0.5199744,
2007-07,0.5265024,
2007-08,0.5221248,
2007-09,0.5478912,
2007-10,0.5543808,
2007-11,0.5706240,
2007-12,0.5662080,
2008-01,0.5670144,
2008-02,0.5693952,comment
2008-03,0.6067200,
2008-04,0.5978880,
2008-05,0.5971968,
2008-06,0.6062208,
2008-07,0.5987328,
2008-08,0.5634048,
2008-09,0.5565312,
2008-10,0.5073792,
2008-11,0.4874112,
2008-12,0.5407104,
2009-01,0.5033088,
2009-02,0.4892544,
2009-03,0.5080320,
2009-04,0.4987008,
2009-05,0.5436672,
2009-06,0.5416320,
2009-07,0.5395200,
2009-08,0.5484288,
2009-09,0.5613312,
2009-10,0.5651712,
2009-11,0.5800320,
2009-12,0.5516160,
2010-01,0.5322240,
2010-02,0.5175552,
2010-03,0.5143680,
2010-04,0.5071872,
2010-05,0.4725504,
2010-06,0.4691328,
2010-07,0.4996992,
2010-08,0.4854528,
2010-09,0.5222016,
2010-10,0.5355264,
2010-11,0.5030016,
2010-12,0.5080320,
2011-01,0.5222016,
2011-02,0.5281920,
2011-03,0.5409792,
2011-04,0.5708160,
2011-05,0.5523072,
2011-06,0.5513472,
2011-07,0.5528448,
2011-08,0.5567232,
2011-09,0.5205120,
2011-10,0.5373312,
2011-11,0.5122560,
2011-12,0.4965120,
2012-01,0.5066112,
2012-02,0.5176320,
2012-03,0.5119104,
2012-04,0.5087232,
2012-05,0.4786176,
2012-06,0.4800768,
2012-07,0.4715520,
2012-08,0.4821504,
2012-09,0.4946304,
2012-10,0.4980864,
2012-11,0.4985088,
2012-12,0.5073792,
2013-01,0.5179008,
2013-02,0.5010816,
2013-03,0.4920576,
2013-04,0.5027712,
2013-05,0.4976256,
2013-06,0.4995456,
2013-07,0.5090688,
2013-08,0.5119872,
2013-09,0.5185536,
2013-10,0.5263488,
2013-11,0.5195904,
2013-12,0.5296512,
2014-01,0.5241600,
2014-02,0.5255040,
2014-03,0.5279232,
2014-04,0.5302272,
2014-05,0.5223552,
2014-06,0.5238912,
2014-07,0.5169792,
2014-08,0.5073408,
2014-09,0.4873344,
2014-10,0.4844928,
2014-11,0.4780032,
2014-12,0.4669824,
2015-01,0.4326144,
"","Source: Central Bank of Oman, Muscat",
"",Comment on 2003-08: Exchange rate as of 1 September 2003.,
"",Comment on 2008-02: Exchange rate as of 26 February 2008.,
