"",BBK01.OEAC17S,BBK01.OEAC17S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:28,
2002-01,0.244,
2002-04,0.265,
2002-07,0.269,
2002-10,0.237,
2003-01,0.231,
2003-04,0.238,
2003-07,0.236,
2003-10,0.231,
2004-01,0.239,
2004-04,0.237,
2004-07,0.252,
2004-10,0.230,
2005-01,0.241,
2005-04,0.223,
2005-07,0.220,
2005-10,0.206,
2006-01,0.230,
2006-04,0.242,
2006-07,0.218,
2006-10,0.174,
2007-01,0.181,
2007-04,0.176,
2007-07,0.183,
2007-10,0.203,
2008-01,0.207,
2008-04,0.193,
2008-07,0.185,
2008-10,0.183,
2009-01,0.193,
2009-04,0.183,
2009-07,0.192,
2009-10,0.217,
2010-01,0.185,
2010-04,0.182,
2010-07,0.187,
2010-10,0.157,
2011-01,0.172,
2011-04,0.204,
2011-07,0.195,
2011-10,0.177,
2012-01,0.194,
2012-04,0.180,
2012-07,0.186,
2012-10,0.170,
2013-01,0.181,
2013-04,0.182,
2013-07,0.204,
2013-10,0.178,
2014-01,0.175,
2014-04,0.176,
2014-07,0.196,
