"",BBK01.OEAE10N,BBK01.OEAE10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:37,
2002-01,21.302,
2002-04,21.440,
2002-07,21.158,
2002-10,21.681,
2003-01,20.899,
2003-04,19.713,
2003-07,19.901,
2003-10,20.054,
2004-01,18.836,
2004-04,18.588,
2004-07,17.855,
2004-10,18.121,
2005-01,18.361,
2005-04,18.245,
2005-07,17.173,
2005-10,16.389,
2006-01,15.694,
2006-04,15.942,
2006-07,15.946,
2006-10,16.485,
2007-01,16.626,
2007-04,16.401,
2007-07,16.550,
2007-10,16.963,
2008-01,17.135,
2008-04,17.131,
2008-07,17.085,
2008-10,17.452,
2009-01,15.962,
2009-04,15.063,
2009-07,15.459,
2009-10,13.229,
2010-01,12.842,
2010-04,12.492,
2010-07,12.100,
2010-10,12.112,
2011-01,11.879,
2011-04,12.059,
2011-07,12.350,
2011-10,12.057,
2012-01,12.019,
2012-04,11.735,
2012-07,11.174,
2012-10,11.072,
2013-01,11.408,
2013-04,11.046,
2013-07,10.832,
2013-10,10.383,
2014-01,10.069,
2014-04,10.553,
2014-07,9.869,
