"",BBK01.OELJ07L,BBK01.OELJ07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:58,
2002-01,0.206,
2002-04,0.204,
2002-07,0.208,
2002-10,0.206,
2003-01,0.216,
2003-04,0.224,
2003-07,0.225,
2003-10,0.227,
2004-01,0.232,
2004-04,0.238,
2004-07,0.215,
2004-10,0.228,
2005-01,0.234,
2005-04,0.238,
2005-07,0.254,
2005-10,0.241,
2006-01,0.250,
2006-04,0.266,
2006-07,0.268,
2006-10,0.256,
2007-01,0.244,
2007-04,0.238,
2007-07,0.234,
2007-10,0.206,
2008-01,0.201,
2008-04,0.197,
2008-07,0.196,
2008-10,0.191,
2009-01,0.199,
2009-04,0.220,
2009-07,0.242,
2009-10,0.264,
2010-01,0.356,
2010-04,0.314,
2010-07,0.286,
2010-10,0.273,
2011-01,0.278,
2011-04,0.270,
2011-07,0.267,
2011-10,0.262,
2012-01,0.266,
2012-04,0.278,
2012-07,0.279,
2012-10,0.262,
2013-01,0.281,
2013-04,0.287,
2013-07,0.293,
2013-10,0.282,
2014-01,0.284,
2014-04,0.287,
2014-07,0.286,
