"",BBK01.OEAD11T,BBK01.OEAD11T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:10,
2002-01,0.429,
2002-04,0.454,
2002-07,0.469,
2002-10,0.451,
2003-01,0.481,
2003-04,0.467,
2003-07,0.476,
2003-10,0.450,
2004-01,0.473,
2004-04,0.476,
2004-07,0.443,
2004-10,0.403,
2005-01,0.401,
2005-04,0.344,
2005-07,0.343,
2005-10,0.350,
2006-01,0.384,
2006-04,0.351,
2006-07,0.337,
2006-10,0.293,
2007-01,0.287,
2007-04,0.344,
2007-07,0.317,
2007-10,0.292,
2008-01,0.335,
2008-04,0.342,
2008-07,0.325,
2008-10,0.340,
2009-01,0.434,
2009-04,0.337,
2009-07,0.335,
2009-10,0.414,
2010-01,0.364,
2010-04,0.358,
2010-07,0.397,
2010-10,0.309,
2011-01,0.329,
2011-04,0.349,
2011-07,0.348,
2011-10,0.332,
2012-01,0.349,
2012-04,0.363,
2012-07,0.366,
2012-10,0.356,
2013-01,0.365,
2013-04,0.326,
2013-07,0.352,
2013-10,0.316,
2014-01,0.315,
2014-04,0.291,
2014-07,0.333,
