"",BBK01.OEAD04U,BBK01.OEAD04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:30,
2002-01,0.127,
2002-04,0.119,
2002-07,0.119,
2002-10,0.126,
2003-01,0.120,
2003-04,0.118,
2003-07,0.116,
2003-10,0.120,
2004-01,0.124,
2004-04,0.118,
2004-07,0.115,
2004-10,0.108,
2005-01,0.098,
2005-04,0.101,
2005-07,0.094,
2005-10,0.084,
2006-01,0.082,
2006-04,0.083,
2006-07,0.081,
2006-10,0.078,
2007-01,0.074,
2007-04,0.065,
2007-07,0.060,
2007-10,0.064,
2008-01,0.062,
2008-04,0.063,
2008-07,0.071,
2008-10,0.072,
2009-01,0.072,
2009-04,0.073,
2009-07,0.067,
2009-10,0.061,
2010-01,0.066,
2010-04,0.078,
2010-07,0.069,
2010-10,0.065,
2011-01,0.072,
2011-04,0.094,
2011-07,0.101,
2011-10,0.097,
2012-01,0.101,
2012-04,0.100,
2012-07,0.100,
2012-10,0.091,
2013-01,0.094,
2013-04,0.096,
2013-07,0.093,
2013-10,0.084,
2014-01,0.091,
2014-04,0.086,
2014-07,0.085,
