"",BBK01.OEYI03O,BBK01.OEYI03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:50,
2002-01,12.405,
2002-04,12.855,
2002-07,12.886,
2002-10,13.473,
2003-01,13.814,
2003-04,14.627,
2003-07,15.472,
2003-10,15.819,
2004-01,17.241,
2004-04,17.422,
2004-07,18.072,
2004-10,18.787,
2005-01,19.654,
2005-04,19.353,
2005-07,20.231,
2005-10,20.421,
2006-01,20.827,
2006-04,21.202,
2006-07,22.582,
2006-10,22.757,
2007-01,22.352,
2007-04,22.467,
2007-07,22.024,
2007-10,23.168,
2008-01,24.249,
2008-04,23.815,
2008-07,18.443,
2008-10,18.412,
2009-01,19.281,
2009-04,19.232,
2009-07,19.746,
2009-10,20.619,
2010-01,20.922,
2010-04,20.567,
2010-07,20.512,
2010-10,20.487,
2011-01,19.925,
2011-04,19.804,
2011-07,20.069,
2011-10,20.451,
2012-01,19.955,
2012-04,19.636,
2012-07,19.899,
2012-10,20.357,
2013-01,19.458,
2013-04,18.705,
2013-07,18.135,
2013-10,18.576,
2014-01,17.933,
2014-04,17.745,
2014-07,17.462,
