"",BBK01.OEAH44S,BBK01.OEAH44S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:23,
2002-01,0.906,
2002-04,0.916,
2002-07,0.947,
2002-10,0.970,
2003-01,0.919,
2003-04,0.933,
2003-07,0.996,
2003-10,1.070,
2004-01,1.009,
2004-04,1.039,
2004-07,1.093,
2004-10,1.129,
2005-01,1.066,
2005-04,1.082,
2005-07,1.139,
2005-10,1.213,
2006-01,1.189,
2006-04,1.147,
2006-07,1.188,
2006-10,1.277,
2007-01,1.300,
2007-04,1.330,
2007-07,1.351,
2007-10,1.368,
2008-01,1.260,
2008-04,1.259,
2008-07,1.335,
2008-10,1.397,
2009-01,1.359,
2009-04,1.436,
2009-07,1.574,
2009-10,1.690,
2010-01,1.620,
2010-04,1.690,
2010-07,1.810,
2010-10,1.892,
2011-01,1.769,
2011-04,1.820,
2011-07,1.890,
2011-10,2.008,
2012-01,1.890,
2012-04,1.942,
2012-07,2.052,
2012-10,2.123,
2013-01,2.042,
2013-04,2.075,
2013-07,2.235,
2013-10,2.319,
2014-01,2.255,
2014-04,2.301,
2014-07,2.456,
