"",BBFB1.Q.N.DE.HU.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.HU.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:01,
1991-01,0.543,
1991-04,8.899,
1991-07,20.115,
1991-10,249.668,
1992-01,101.134,
1992-04,56.118,
1992-07,91.967,
1992-10,41.806,
1993-01,856.779,
1993-04,-4.329,
1993-07,441.459,
1993-10,-15.200,
1994-01,409.801,
1994-04,12.333,
1994-07,116.559,
1994-10,3.831,
1995-01,-687.817,
1995-04,210.948,
1995-07,-211.254,
1995-10,-114.280,
1996-01,125.034,
1996-04,-199.402,
1996-07,-164.169,
1996-10,58.915,
1997-01,-377.893,
1997-04,347.770,
1997-07,110.166,
1997-10,-14.788,
1998-01,690.259,
1998-04,5.829,
1998-07,-246.898,
1998-10,102.036,
1999-01,-119.381,
1999-04,144.212,
1999-07,153.075,
1999-10,170.618,
2000-01,911.874,
2000-04,272.026,
2000-07,823.046,
2000-10,144.846,
2001-01,96.358,
2001-04,516.656,
2001-07,199.083,
2001-10,62.747,
2002-01,521.465,
2002-04,58.049,
2002-07,218.162,
2002-10,189.566,
2003-01,1032.175,
2003-04,-51.617,
2003-07,340.299,
2003-10,-305.287,
2004-01,51.704,
2004-04,534.942,
2004-07,501.614,
2004-10,513.883,
2005-01,1090.832,
2005-04,227.666,
2005-07,591.458,
2005-10,103.753,
2006-01,439.280,
2006-04,-99.504,
2006-07,222.554,
2006-10,-25.605,
2007-01,566.488,
2007-04,-150.257,
2007-07,169.273,
2007-10,332.445,
2008-01,164.811,
2008-04,614.709,
2008-07,232.337,
2008-10,-12.770,
2009-01,851.927,
2009-04,891.743,
2009-07,512.167,
2009-10,370.362,
2010-01,471.095,
2010-04,300.899,
2010-07,63.491,
2010-10,-841.497,
2011-01,-156.552,
2011-04,-79.027,
2011-07,-131.370,
2011-10,64.390,
2012-01,202.407,
2012-04,-17.076,
2012-07,272.338,
2012-10,23.081,
2013-01,474.521,
2013-04,-192.934,
2013-07,-268.435,
2013-10,96.567,
2014-01,90.063,Provisional value
2014-04,446.483,Provisional value
2014-07,45.614,Provisional value
2014-10,-3.083,Provisional value
