"",BBFN1.M.DE.N.1.A.DK.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.DK.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Denmark,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:02,
1994-12,1.417,
1995-01,1.410,
1995-02,1.471,
1995-03,1.515,
1995-04,1.458,
1995-05,1.476,
1995-06,1.448,
1995-07,1.427,
1995-08,1.401,
1995-09,1.483,
1995-10,1.487,
1995-11,1.489,
1995-12,1.299,
1996-01,1.306,
1996-02,1.306,
1996-03,1.347,
1996-04,1.359,
1996-05,1.412,
1996-06,1.435,
1996-07,1.400,
1996-08,1.470,
1996-09,1.514,
1996-10,1.680,
1996-11,1.633,
1996-12,1.317,
1997-01,1.344,
1997-02,1.574,
1997-03,1.477,
1997-04,1.516,
1997-05,1.597,
1997-06,1.535,
1997-07,1.534,
1997-08,1.493,
1997-09,1.481,
1997-10,1.463,
1997-11,1.610,
1997-12,1.428,
1998-01,1.486,
1998-02,1.581,
1998-03,1.676,
1998-04,1.674,
1998-05,1.758,
1998-06,1.650,
1998-07,1.530,
1998-08,1.486,
1998-09,1.509,
1998-10,1.615,
1998-11,1.708,
1998-12,1.514,
1999-01,1.512,
1999-02,1.621,
1999-03,1.772,
1999-04,1.746,
1999-05,1.958,
1999-06,1.918,
1999-07,1.882,
1999-08,1.923,
1999-09,1.834,
1999-10,1.864,
1999-11,1.930,
1999-12,1.810,
2000-01,1.661,
2000-02,1.736,
2000-03,1.907,
2000-04,1.760,
2000-05,1.916,
2000-06,1.940,
2000-07,1.919,
2000-08,1.882,
2000-09,1.975,
2000-10,1.972,
2000-11,1.970,
2000-12,1.866,
2001-01,1.831,
2001-02,1.986,
2001-03,2.086,
2001-04,2.085,
2001-05,2.035,
2001-06,1.941,
2001-07,1.847,
2001-08,1.945,
2001-09,1.948,
2001-10,2.119,
2001-11,2.178,
2001-12,2.034,
2002-01,2.238,
2002-02,2.338,
2002-03,2.057,
2002-04,2.079,
2002-05,2.038,
2002-06,2.130,
2002-07,2.034,
2002-08,2.329,
2002-09,2.490,
2002-10,2.380,
2002-11,2.832,
2002-12,2.827,
2003-01,2.522,
2003-02,2.564,
2003-03,2.156,
2003-04,2.528,
2003-05,2.232,
2003-06,2.438,
2003-07,2.243,
2003-08,2.238,
2003-09,2.019,
2003-10,2.009,
2003-11,2.480,
2003-12,2.114,
2004-01,2.647,
2004-02,2.294,
2004-03,2.483,
2004-04,2.246,
2004-05,2.373,
2004-06,2.894,
2004-07,2.300,
2004-08,2.317,
2004-09,2.411,
2004-10,3.119,
2004-11,2.968,
2004-12,3.184,
2005-01,2.834,
2005-02,2.815,
2005-03,2.767,
2005-04,2.772,
2005-05,2.830,
2005-06,3.085,
2005-07,3.179,
2005-08,3.163,
2005-09,3.052,
2005-10,3.258,
2005-11,3.249,
2005-12,3.330,
2006-01,3.104,
2006-02,3.051,
2006-03,3.616,
2006-04,3.031,
2006-05,3.061,
2006-06,3.040,
2006-07,3.132,
2006-08,4.189,
2006-09,2.944,
2006-10,3.182,
2006-11,3.443,
2006-12,3.374,
2007-01,2.925,
2007-02,2.855,
2007-03,3.277,
2007-04,3.340,
2007-05,2.961,
2007-06,3.133,
2007-07,3.016,
2007-08,3.057,
2007-09,3.098,
2007-10,3.422,
2007-11,3.177,
2007-12,3.637,
2008-01,3.552,
2008-02,3.394,
2008-03,3.526,
2008-04,3.379,
2008-05,3.320,
2008-06,3.598,
2008-07,3.320,
2008-08,3.338,
2008-09,3.803,
2008-10,3.682,
2008-11,3.721,
2008-12,4.229,
2009-01,3.617,
2009-02,3.502,
2009-03,3.616,
2009-04,3.600,
2009-05,3.598,
2009-06,3.628,
2009-07,3.742,
2009-08,3.848,
2009-09,4.802,
2009-10,5.079,
2009-11,5.300,
2009-12,5.307,
2010-01,5.242,
2010-02,5.194,
2010-03,5.686,
2010-04,8.218,
2010-05,8.960,
2010-06,7.649,
2010-07,6.397,
2010-08,7.655,
2010-09,7.110,
2010-10,9.507,
2010-11,10.269,
2010-12,8.044,
2011-01,7.439,
2011-02,7.432,
2011-03,7.823,
2011-04,7.839,
2011-05,9.160,
2011-06,8.737,
2011-07,6.529,
2011-08,8.016,
2011-09,7.853,
2011-10,8.709,
2011-11,9.467,
2011-12,8.137,
2012-01,7.771,
2012-02,7.470,
2012-03,8.053,
2012-04,7.007,
2012-05,7.428,
2012-06,11.875,
2012-07,10.979,
2012-08,7.969,
2012-09,10.358,
2012-10,8.598,
2012-11,8.053,
2012-12,9.477,
2013-01,7.486,
2013-02,9.756,
2013-03,9.411,
2013-04,7.891,
2013-05,7.403,
2013-06,7.809,
2013-07,7.858,
2013-08,8.338,
2013-09,8.619,
2013-10,7.926,
2013-11,10.680,
2013-12,12.815,
2014-01,10.876,
2014-02,13.049,
2014-03,16.368,
2014-04,14.353,
2014-05,16.566,
2014-06,19.348,
2014-07,13.818,
2014-08,14.427,
2014-09,15.625,
2014-10,15.296,
2014-11,16.919,
2014-12,15.287,
