"",BBSF2.M.1.T.00000.DER01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DER01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Funds total / Derivative funds / Long-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:26,
2009-09,195,
2009-10,228,
2009-11,239,
2009-12,173,
2010-01,173,
2010-02,183,
2010-03,183,
2010-04,183,
2010-05,186,
2010-06,189,
2010-07,200,
2010-08,200,
2010-09,167,
2010-10,197,
2010-11,197,
2010-12,184,
2011-01,184,
2011-02,183,
2011-03,166,
2011-04,166,
2011-05,166,
2011-06,185,
2011-07,215,
2011-08,245,
2011-09,248,
2011-10,238,
2011-11,238,
2011-12,259,
2012-01,281,
2012-02,304,
2012-03,66,
2012-04,66,
2012-05,66,
2012-06,64,
2012-07,66,
2012-08,66,
2012-09,67,
2012-10,67,
2012-11,66,
2012-12,66,
2013-01,2,
2013-02,9,
2013-03,12,
2013-04,16,
2013-05,16,
2013-06,15,
2013-07,14,
2013-08,14,
2013-09,14,
2013-10,13,
2013-11,12,
2013-12,11,
2014-01,11,
2014-02,11,
2014-03,11,
2014-04,11,
2014-05,11,
2014-06,11,
2014-07,11,
2014-08,11,
2014-09,16,
2014-10,16,
2014-11,14,
