"",BBFB1.Q.N.DE.JP.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.JP.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:30,
1991-01,420.480,
1991-04,506.138,
1991-07,601.648,
1991-10,173.001,
1992-01,313.977,
1992-04,401.821,
1992-07,-263.014,
1992-10,521.701,
1993-01,-460.651,
1993-04,-13.784,
1993-07,62.075,
1993-10,0.698,
1994-01,1570.242,
1994-04,110.039,
1994-07,-311.854,
1994-10,-322.575,
1995-01,60.549,
1995-04,-557.896,
1995-07,-66.594,
1995-10,253.244,
1996-01,62.936,
1996-04,712.939,
1996-07,-69.965,
1996-10,-28.374,
1997-01,631.454,
1997-04,577.017,
1997-07,2486.350,
1997-10,-2251.002,
1998-01,551.260,
1998-04,302.629,
1998-07,-1140.361,
1998-10,3817.418,
1999-01,1718.262,
1999-04,-805.350,
1999-07,1827.061,
1999-10,1613.615,
2000-01,3137.960,
2000-04,62.864,
2000-07,-1523.227,
2000-10,394.870,
2001-01,-7446.974,
2001-04,5965.567,
2001-07,-1838.350,
2001-10,-864.522,
2002-01,-1059.864,
2002-04,3877.501,
2002-07,-3248.253,
2002-10,4433.585,
2003-01,-2389.532,
2003-04,3449.767,
2003-07,175.925,
2003-10,1774.131,
2004-01,2409.763,
2004-04,2408.365,
2004-07,2944.122,
2004-10,-1515.207,
2005-01,-3192.487,
2005-04,-2339.871,
2005-07,2779.825,
2005-10,6086.176,
2006-01,-5369.760,
2006-04,-263.023,
2006-07,-1284.090,
2006-10,-49.005,
2007-01,-709.711,
2007-04,849.841,
2007-07,-1098.142,
2007-10,-476.528,
2008-01,-1320.866,
2008-04,865.306,
2008-07,-2172.159,
2008-10,-2760.660,
2009-01,-979.403,
2009-04,-319.902,
2009-07,808.091,
2009-10,-476.464,
2010-01,674.387,
2010-04,-39.464,
2010-07,-131.538,
2010-10,8932.990,
2011-01,-1593.129,
2011-04,545.683,
2011-07,-539.583,
2011-10,-2027.223,
2012-01,-265.236,
2012-04,386.630,
2012-07,-1270.181,
2012-10,-3.886,
2013-01,-2473.236,
2013-04,1392.263,
2013-07,-1191.592,
2013-10,1489.557,
2014-01,-618.514,Provisional value
2014-04,-834.371,Provisional value
2014-07,251.351,Provisional value
2014-10,-215.638,Provisional value
