"",BBK01.BQM005,BBK01.BQM005_FLAGS
"","General government debt - of which securities other than shares, excl. financial derivates - of which short-term",
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:30,
2000-01,11249,
2000-04,11238,
2000-07,11435,
2000-10,11219,
2001-01,11386,
2001-04,13331,
2001-07,19258,
2001-10,22819,
2002-01,17449,
2002-04,21933,
2002-07,31292,
2002-10,30636,
2003-01,30427,
2003-04,30936,
2003-07,33177,
2003-10,35800,
2004-01,37076,
2004-04,37242,
2004-07,37465,
2004-10,35663,
2005-01,37446,
2005-04,37188,
2005-07,37167,
2005-10,36969,
2006-01,36803,
2006-04,37441,
2006-07,37940,
2006-10,37900,
2007-01,38705,
2007-04,38608,
2007-07,39493,
2007-10,39410,
2008-01,39440,
2008-04,39638,
2008-07,42789,
2008-10,44734,
2009-01,70069,
2009-04,98997,
2009-07,110152,
2009-10,106510,
2010-01,94069,Provisional value
2010-04,86692,Provisional value
2010-07,87529,Provisional value
2010-10,86708,Provisional value
2011-01,98744,Provisional value
2011-04,103852,Provisional value
2011-07,114487,Provisional value
2011-10,116289,Provisional value
2012-01,116023,Provisional value
2012-04,121174,Provisional value
2012-07,105457,Provisional value
2012-10,106928,Provisional value
2013-01,105076,Provisional value
2013-04,103766,Provisional value
2013-07,94133,Provisional value
2013-10,85836,Provisional value
2014-01,82011,Provisional value
2014-04,75979,Provisional value
2014-07,75494,Provisional value
