"",BBK01.OEBB07G,BBK01.OEBB07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:34,
2002-01,7.702,
2002-04,10.635,
2002-07,10.579,
2002-10,10.522,
2003-01,10.491,
2003-04,10.349,
2003-07,10.589,
2003-10,11.432,
2004-01,12.068,
2004-04,12.956,
2004-07,13.132,
2004-10,15.015,
2005-01,11.682,
2005-04,11.719,
2005-07,9.490,
2005-10,9.487,
2006-01,9.579,
2006-04,9.665,
2006-07,9.637,
2006-10,8.188,
2007-01,8.157,
2007-04,8.427,
2007-07,8.684,
2007-10,8.630,
2008-01,8.752,
2008-04,8.950,
2008-07,9.118,
2008-10,9.472,
2009-01,9.957,
2009-04,11.412,
2009-07,11.455,
2009-10,12.341,
2010-01,12.609,
2010-04,13.046,
2010-07,13.576,
2010-10,14.448,
2011-01,14.288,
2011-04,14.396,
2011-07,14.780,
2011-10,15.700,
2012-01,15.857,
2012-04,15.823,
2012-07,15.897,
2012-10,15.467,
2013-01,15.111,
2013-04,15.387,
2013-07,15.172,
2013-10,16.350,
2014-01,16.259,
2014-04,15.774,
2014-07,15.760,
