"",BBFB1.Q.N.DE.E14000.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.E14000.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:17,
1991-01,-17.575,
1991-04,-34.802,
1991-07,-21.559,
1991-10,4.559,
1992-01,-49.880,
1992-04,12.568,
1992-07,-336.153,
1992-10,-103.420,
1993-01,-64.867,
1993-04,-393.975,
1993-07,13.903,
1993-10,-611.819,
1994-01,-50.406,
1994-04,-108.063,
1994-07,-30.054,
1994-10,51.903,
1995-01,110.730,
1995-04,-237.705,
1995-07,110.347,
1995-10,56.070,
1996-01,346.509,
1996-04,59.633,
1996-07,39.111,
1996-10,314.594,
1997-01,291.795,
1997-04,-175.823,
1997-07,-41.067,
1997-10,64.736,
1998-01,64.292,
1998-04,-290.893,
1998-07,69.075,
1998-10,-106.789,
1999-01,-119.170,
1999-04,-444.944,
1999-07,-165.456,
1999-10,-314.735,
2000-01,482.001,
2000-04,-141.657,
2000-07,161.669,
2000-10,-873.265,
2001-01,178.930,
2001-04,-701.249,
2001-07,-41.052,
2001-10,2187.134,
2002-01,-936.129,
2002-04,-298.207,
2002-07,509.771,
2002-10,17.845,
2003-01,-28.082,
2003-04,145.714,
2003-07,131.730,
2003-10,-76.741,
2004-01,-494.324,
2004-04,27.430,
2004-07,30.739,
2004-10,289.196,
2005-01,19.332,
2005-04,-262.434,
2005-07,-813.809,
2005-10,-98.650,
2006-01,-14.450,
2006-04,642.076,
2006-07,-362.575,
2006-10,1229.686,
2007-01,-300.843,
2007-04,-505.984,
2007-07,399.062,
2007-10,1216.143,
2008-01,1493.428,
2008-04,1250.100,
2008-07,1726.095,
2008-10,947.519,
2009-01,378.772,
2009-04,691.291,
2009-07,-727.260,
2009-10,164.076,
2010-01,-674.996,
2010-04,-350.514,
2010-07,-792.125,
2010-10,-866.497,
2011-01,319.289,
2011-04,-177.715,
2011-07,-1676.776,
2011-10,201.087,
2012-01,-428.612,
2012-04,1268.834,
2012-07,-145.250,
2012-10,1252.949,
2013-01,1233.549,
2013-04,866.727,
2013-07,1348.530,
2013-10,1803.075,
2014-01,1151.698,Provisional value
2014-04,1470.983,Provisional value
2014-07,1031.639,Provisional value
2014-10,822.868,Provisional value
