"",BBK01.OEAP01L,BBK01.OEAP01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:52,
2002-01,0.241,
2002-04,0.150,
2002-07,0.190,
2002-10,0.234,
2003-01,0.099,
2003-04,0.166,
2003-07,0.133,
2003-10,0.138,
2004-01,0.099,
2004-04,0.147,
2004-07,0.155,
2004-10,0.086,
2005-01,0.068,
2005-04,0.048,
2005-07,0.045,
2005-10,0.115,
2006-01,0.127,
2006-04,0.085,
2006-07,0.064,
2006-10,0.036,
2007-01,0.034,
2007-04,0.041,
2007-07,0.045,
2007-10,0.039,
2008-01,0.046,
2008-04,0.030,
2008-07,0.052,
2008-10,0.033,
2009-01,0.046,
2009-04,0.006,
2009-07,-0.003,
2009-10,0.028,
2010-01,0.114,
2010-04,0.071,
2010-07,0.050,
2010-10,0.024,
2011-01,0.012,
2011-04,0.036,
2011-07,0.036,
2011-10,0.036,
2012-01,0.042,
2012-04,0.056,
2012-07,0.028,
2012-10,0.027,
2013-01,0.026,
2013-04,0.028,
2013-07,0.030,
2013-10,0.031,
2014-01,0.019,
2014-04,0.028,
2014-07,0.027,
