"",BBK01.OEAD23I,BBK01.OEAD23I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:08,
2002-01,0.009,
2002-04,0.008,
2002-07,0.009,
2002-10,0.009,
2003-01,0.008,
2003-04,0.008,
2003-07,0.012,
2003-10,0.019,
2004-01,0.016,
2004-04,0.018,
2004-07,0.017,
2004-10,0.019,
2005-01,0.017,
2005-04,0.016,
2005-07,0.015,
2005-10,0.014,
2006-01,0.013,
2006-04,0.013,
2006-07,0.014,
2006-10,0.019,
2007-01,0.018,
2007-04,0.020,
2007-07,0.014,
2007-10,0.015,
2008-01,0.013,
2008-04,0.112,
2008-07,0.118,
2008-10,0.115,
2009-01,0.116,
2009-04,0.115,
2009-07,0.116,
2009-10,0.117,
2010-01,0.082,
2010-04,0.082,
2010-07,0.021,
2010-10,0.010,
2011-01,0.010,
2011-04,0.002,
2011-07,0.002,
2011-10,0.007,
2012-01,0.026,
2012-04,0.023,
2012-07,0.024,
2012-10,0.058,
2013-01,0.057,
2013-04,0.055,
2013-07,0.053,
2013-10,0.051,
2014-01,0.041,
2014-04,0.039,
2014-07,0.030,
