"",BBDE1.M.DE.Y.FG01.A2P200000.F.M.I10.A,BBDE1.M.DE.Y.FG01.A2P200000.F.M.I10.A_FLAGS
"",,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-17 08:12:06,
1991-01,53.4,
1991-02,53.9,
1991-03,54.5,
1991-04,56.0,
1991-05,58.3,
1991-06,58.6,
1991-07,57.7,
1991-08,58.8,
1991-09,58.5,
1991-10,59.2,
1991-11,58.9,
1991-12,60.1,
1992-01,59.8,
1992-02,60.5,
1992-03,60.8,
1992-04,61.6,
1992-05,61.9,
1992-06,63.5,
1992-07,65.7,
1992-08,64.2,
1992-09,64.8,
1992-10,64.8,
1992-11,65.7,
1992-12,65.8,
1993-01,65.7,
1993-02,66.5,
1993-03,66.3,
1993-04,67.2,
1993-05,67.1,
1993-06,68.1,
1993-07,69.4,
1993-08,67.6,
1993-09,68.7,
1993-10,68.8,
1993-11,69.0,
1993-12,69.3,
1994-01,69.5,
1994-02,68.5,
1994-03,69.7,
1994-04,67.8,
1994-05,68.6,
1994-06,69.0,
1994-07,69.2,
1994-08,69.6,
1994-09,69.9,
1994-10,69.9,
1994-11,69.3,
1994-12,72.2,
1995-01,70.0,
1995-02,69.6,
1995-03,72.5,
1995-04,72.4,
1995-05,71.1,
1995-06,71.7,
1995-07,72.2,
1995-08,73.0,
1995-09,73.0,
1995-10,74.4,
1995-11,74.5,
1995-12,75.9,
1996-01,75.8,
1996-02,76.0,
1996-03,74.9,
1996-04,75.5,
1996-05,75.3,
1996-06,75.9,
1996-07,76.0,
1996-08,76.0,
1996-09,76.5,
1996-10,76.7,
1996-11,76.1,
1996-12,76.7,
1997-01,77.1,
1997-02,77.6,
1997-03,76.3,
1997-04,77.4,
1997-05,78.8,
1997-06,77.0,
1997-07,75.9,
1997-08,78.1,
1997-09,77.2,
1997-10,76.7,
1997-11,77.9,
1997-12,77.0,
1998-01,78.1,
1998-02,77.7,
1998-03,77.4,
1998-04,77.9,
1998-05,78.4,
1998-06,78.9,
1998-07,77.9,
1998-08,79.5,
1998-09,79.4,
1998-10,79.4,
1998-11,80.0,
1998-12,81.7,
1999-01,78.4,
1999-02,80.9,
1999-03,81.9,
1999-04,81.0,
1999-05,82.1,
1999-06,81.3,
1999-07,80.7,
1999-08,80.6,
1999-09,81.6,
1999-10,81.1,
1999-11,81.8,
1999-12,80.7,
2000-01,82.0,
2000-02,83.2,
2000-03,82.0,
2000-04,82.5,
2000-05,83.6,
2000-06,84.5,
2000-07,82.9,
2000-08,82.5,
2000-09,83.8,
2000-10,84.1,
2000-11,85.2,
2000-12,84.4,
2001-01,85.5,
2001-02,84.3,
2001-03,85.0,
2001-04,86.8,
2001-05,86.9,
2001-06,86.4,
2001-07,86.5,
2001-08,84.2,
2001-09,85.7,
2001-10,86.4,
2001-11,88.8,
2001-12,87.6,
2002-01,86.6,
2002-02,87.1,
2002-03,87.0,
2002-04,87.8,
2002-05,90.2,
2002-06,90.2,
2002-07,90.1,
2002-08,87.3,
2002-09,89.2,
2002-10,89.6,
2002-11,90.2,
2002-12,90.4,
2003-01,89.9,
2003-02,89.1,
2003-03,88.9,
2003-04,89.9,
2003-05,88.1,
2003-06,88.5,
2003-07,89.8,
2003-08,92.3,
2003-09,91.6,
2003-10,90.5,
2003-11,89.8,
2003-12,90.3,
2004-01,92.5,
2004-02,91.6,
2004-03,92.2,
2004-04,90.5,
2004-05,90.0,
2004-06,90.4,
2004-07,90.0,
2004-08,93.1,
2004-09,91.5,
2004-10,92.4,
2004-11,91.3,
2004-12,91.8,
2005-01,91.5,
2005-02,92.5,
2005-03,93.7,
2005-04,91.7,
2005-05,92.5,
2005-06,91.0,
2005-07,91.8,
2005-08,94.0,
2005-09,92.7,
2005-10,92.9,
2005-11,93.0,
2005-12,94.6,
2006-01,94.3,
2006-02,92.8,
2006-03,93.7,
2006-04,91.7,
2006-05,93.1,
2006-06,94.9,
2006-07,94.1,
2006-08,93.7,
2006-09,96.0,
2006-10,93.4,
2006-11,93.9,
2006-12,94.6,
2007-01,94.2,
2007-02,93.9,
2007-03,94.8,
2007-04,96.0,
2007-05,95.4,
2007-06,96.1,
2007-07,96.1,
2007-08,95.3,
2007-09,94.2,
2007-10,96.0,
2007-11,96.8,
2007-12,95.4,
2008-01,96.4,
2008-02,96.9,
2008-03,96.5,
2008-04,98.2,
2008-05,98.3,
2008-06,95.9,
2008-07,99.1,
2008-08,96.4,
2008-09,98.6,
2008-10,98.0,
