"",BBK01.RU5832,BBK01.RU5832_FLAGS
"","Banks in Germany: Liabilities to non-residents, total / Philippines / All currencies",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:26:24,
1982-06,0.083,
1982-07,0.089,
1982-08,0.097,
1982-09,0.167,
1982-10,0.177,
1982-11,0.129,
1982-12,0.127,
1983-01,0.130,
1983-02,0.166,
1983-03,0.108,
1983-04,0.104,
1983-05,0.099,
1983-06,0.102,
1983-07,0.067,
1983-08,0.070,
1983-09,0.028,
1983-10,0.034,
1983-11,0.038,
1983-12,0.039,
1984-01,0.038,
1984-02,0.035,
1984-03,0.101,
1984-04,0.072,
1984-05,0.073,
1984-06,0.071,
1984-07,0.066,
1984-08,0.053,
1984-09,0.046,
1984-10,0.144,
1984-11,0.056,
1984-12,0.054,
1985-01,0.063,
1985-02,0.051,
1985-03,0.104,
1985-04,0.046,
1985-05,0.047,
1985-06,0.043,
1985-07,0.036,
1985-08,0.034,
1985-09,0.033,
1985-10,0.036,
1985-11,0.030,
1985-12,0.030,
1986-01,0.025,
1986-02,0.029,
1986-03,0.023,
1986-04,0.033,
1986-05,0.033,
1986-06,0.025,
1986-07,0.026,
1986-08,0.020,
1986-09,0.018,
1986-10,0.031,
1986-11,0.027,
1986-12,0.034,
1987-01,0.035,
1987-02,0.036,
1987-03,0.053,
1987-04,0.048,
1987-05,0.049,
1987-06,0.043,
1987-07,0.045,
1987-08,0.042,
1987-09,0.046,
1987-10,0.047,
1987-11,0.048,
1987-12,0.030,
1988-01,0.033,
1988-02,0.034,
1988-03,0.049,
1988-04,0.035,
1988-05,0.035,
1988-06,0.032,
1988-07,0.029,
1988-08,0.030,
1988-09,0.028,
1988-10,0.040,
1988-11,0.024,
1988-12,0.022,
1989-01,0.023,
1989-02,0.024,
1989-03,0.020,
1989-04,0.019,
1989-05,0.028,
1989-06,0.028,
1989-07,0.029,
1989-08,0.032,
1989-09,0.025,
1989-10,0.021,
1989-11,0.026,
1989-12,0.024,
1990-01,0.023,
1990-02,0.025,
1990-03,0.030,
1990-04,0.025,
1990-05,0.027,
1990-06,0.023,
1990-07,0.027,
1990-08,0.026,
1990-09,.,No value available
1990-10,.,No value available
1990-11,.,No value available
1990-12,.,No value available
1991-01,.,No value available
1991-02,.,No value available
1991-03,.,No value available
1991-04,.,No value available
1991-05,0.046,
1991-06,.,No value available
1991-07,0.035,
1991-08,0.056,
1991-09,0.049,
1991-10,0.051,
1991-11,0.038,
1991-12,0.038,
1992-01,0.035,
1992-02,0.032,
1992-03,0.037,
1992-04,0.036,
1992-05,0.038,
1992-06,0.072,
1992-07,0.057,
1992-08,0.058,
1992-09,0.071,
1992-10,0.066,
1992-11,0.065,
1992-12,0.074,
1993-01,0.067,
1993-02,0.058,
1993-03,0.058,
1993-04,0.071,
1993-05,0.123,
1993-06,0.081,
1993-07,0.082,
1993-08,0.069,
1993-09,0.074,
1993-10,0.082,
1993-11,0.066,
1993-12,0.087,
1994-01,0.083,
1994-02,0.081,
1994-03,0.085,
1994-04,0.084,
1994-05,0.088,
1994-06,0.108,
1994-07,0.092,
1994-08,0.092,
1994-09,0.099,
1994-10,0.090,
1994-11,0.089,
1994-12,0.100,
1995-01,0.090,
1995-02,0.079,
1995-03,0.075,
1995-04,0.066,
1995-05,0.082,
1995-06,0.100,
1995-07,0.087,
1995-08,0.098,
1995-09,0.110,
1995-10,0.099,
1995-11,0.088,
1995-12,0.124,
1996-01,0.108,
1996-02,0.107,
1996-03,0.112,
1996-04,0.096,
1996-05,0.093,
1996-06,0.115,
1996-07,0.055,
1996-08,0.049,
1996-09,0.056,
1996-10,0.086,
1996-11,0.060,
1996-12,0.052,
1997-01,0.065,
1997-02,0.120,
1997-03,0.077,
1997-04,0.083,
1997-05,0.091,
1997-06,0.101,
1997-07,0.152,
1997-08,0.091,
1997-09,0.085,
1997-10,0.238,
1997-11,0.258,
1997-12,0.363,
1998-01,0.343,
1998-02,0.261,
1998-03,0.325,
1998-04,0.212,
1998-05,0.296,
1998-06,0.422,
1998-07,0.410,
1998-08,0.337,
1998-09,0.315,
1998-10,0.368,
1998-11,0.473,
1998-12,0.314,
1999-01,0.363,
1999-02,0.521,
1999-03,0.367,
1999-04,0.455,
1999-05,0.514,
1999-06,0.607,
1999-07,0.579,
1999-08,0.641,
1999-09,0.755,
1999-10,0.665,
1999-11,0.789,
1999-12,0.985,
2000-01,0.632,
2000-02,0.842,
2000-03,0.980,
2000-04,0.913,
2000-05,0.522,
2000-06,0.450,
2000-07,0.654,
2000-08,0.673,
2000-09,0.871,
2000-10,0.799,
2000-11,0.481,
2000-12,0.782,
2001-01,0.642,
2001-02,0.750,
2001-03,0.757,
2001-04,0.717,
2001-05,0.750,
2001-06,0.900,
2001-07,0.732,
2001-08,0.753,
2001-09,0.850,
2001-10,0.620,
2001-11,0.606,
2001-12,0.692,
2002-01,0.692,
2002-02,0.527,
2002-03,0.826,
2002-04,0.756,
2002-05,0.734,
2002-06,0.681,
2002-07,0.673,
2002-08,0.492,
2002-09,0.537,
2002-10,0.439,
2002-11,0.461,
2002-12,0.576,
2003-01,0.440,
2003-02,0.337,
2003-03,0.432,
2003-04,0.295,
2003-05,0.240,
2003-06,0.428,
2003-07,0.305,
2003-08,0.217,
2003-09,0.393,
2003-10,0.223,
2003-11,0.208,
2003-12,0.361,
2004-01,0.238,
2004-02,0.187,
2004-03,0.302,
2004-04,0.200,
2004-05,0.278,
2004-06,0.395,
2004-07,0.229,
2004-08,0.244,
2004-09,0.296,
2004-10,0.336,
2004-11,0.252,
2004-12,0.304,
2005-01,0.310,
2005-02,0.281,
2005-03,0.237,
2005-04,0.299,
2005-05,0.263,
2005-06,0.450,
2005-07,0.350,
2005-08,0.277,
2005-09,0.394,
2005-10,0.406,
2005-11,0.413,
2005-12,0.375,
2006-01,0.481,
2006-02,0.504,
2006-03,0.407,
2006-04,0.376,
2006-05,0.393,
2006-06,0.310,
2006-07,0.341,
2006-08,0.360,
2006-09,0.371,
2006-10,0.326,
2006-11,0.292,
2006-12,0.322,
2007-01,0.524,
2007-02,0.328,
2007-03,0.452,
2007-04,0.380,
2007-05,0.419,
2007-06,0.352,
2007-07,0.428,
2007-08,0.252,
2007-09,0.284,
2007-10,0.334,
2007-11,0.287,
2007-12,0.357,
2008-01,0.380,
2008-02,0.314,
2008-03,0.363,
2008-04,0.355,
2008-05,0.317,
2008-06,0.285,
2008-07,0.356,
2008-08,0.345,
2008-09,0.420,
2008-10,0.314,
2008-11,0.310,
2008-12,0.367,
2009-01,0.327,
2009-02,0.366,
2009-03,0.366,
2009-04,0.320,
2009-05,0.326,
2009-06,0.302,
